C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P020050001,SI,SI,NA,SI
2024,P020050007,SI,SI,NA,NO
2024,P020050025,SI,SI,NA,NO
2024,P020050028,SI,NO,NA,NO
2024,P020050034,SI,SI,NA,NO
2024,P020050036,SI,NO,NA,NO
2024,P020050037,SI,NO,NA,NO
2024,P020050064,SI,NO,NA,NO
2024,P020050070,SI,SI,NA,NO
2024,P020050084,SI,SI,NA,NO
2024,P020050086,SI,NO,NA,NO
2024,P020050088,SI,SI,NA,NO
2024,P020050089,SI,SI,NA,NO
2024,P020050194,SI,SI,NA,NO
2024,P020050213,SI,NO,NA,NO
2024,P020050218,SI,SI,NA,NO
2024,P020050230,SI,SI,NA,NO
2024,P260550001,SI,SI,NA,SI
2024,P260550011,SI,SI,NA,NO
2024,P260550014,SI,SI,NA,NO
2024,P260550016,SI,SI,NA,NO
2024,P260550017,SI,SI,NA,NO
2024,P260550021,SI,NO,NA,NO
2024,P260550023,SI,SI,NA,NO
2024,P260550089,SI,SI,NA,NO
2024,P260700001,SI,SI,NA,SI
2024,P260700019,SI,SI,NA,NO
