C601,C602,C003,C006,C101,C102,C103,R001-0501
2024,P10,P020014444,NA,P201,P01,P02,7
2024,P10,P020020001,NA,P101,P01,P02,2760
2024,P10,P020020001,NA,P101,P02,P02,9108
2024,P10,P020020001,NA,P108,P01,P02,27217
2024,P10,P020020001,NA,P108,P02,P02,1809
2024,P10,P020020001,NA,P201,P01,P02,66972
2024,P10,P020020001,NA,P201,P02,P02,17413
2024,P10,P020020110,NA,P101,P01,P02,11
2024,P10,P020020110,NA,P101,P02,P02,5
2024,P10,P020020110,NA,P108,P01,P02,282
2024,P10,P020020110,NA,P108,P02,P02,15
2024,P10,P020020110,NA,P201,P01,P02,550
2024,P10,P020020110,NA,P201,P02,P02,42
2024,P10,P020020111,NA,P101,P01,P02,10
2024,P10,P020020111,NA,P101,P02,P02,25
2024,P10,P020020111,NA,P108,P01,P02,525
2024,P10,P020020111,NA,P108,P02,P02,37
2024,P10,P020020111,NA,P201,P01,P02,631
2024,P10,P020020111,NA,P201,P02,P02,586
2024,P10,P020020127,NA,P201,P01,P02,1
2024,P10,P020020143,NA,P108,P01,P02,3
2024,P10,P020020143,NA,P201,P01,P02,83
2024,P10,P020020143,NA,P201,P02,P02,2
2024,P10,P020020152,NA,P101,P01,P02,3
2024,P10,P020020152,NA,P201,P01,P02,10
2024,P10,P020020152,NA,P201,P02,P02,2
2024,P10,P020020157,NA,P101,P01,P02,8
2024,P10,P020020157,NA,P108,P01,P02,117
2024,P10,P020020157,NA,P108,P02,P02,1
2024,P10,P020020157,NA,P201,P01,P02,32
2024,P10,P020020158,NA,P101,P01,P02,20
2024,P10,P020020158,NA,P101,P02,P02,1
2024,P10,P020020158,NA,P108,P01,P02,24
2024,P10,P020020158,NA,P201,P01,P02,3
2024,P10,P020020159,NA,P101,P01,P02,8
2024,P10,P020020159,NA,P101,P02,P02,5
2024,P10,P020020159,NA,P108,P01,P02,247
2024,P10,P020020159,NA,P108,P02,P02,20
2024,P10,P020020159,NA,P201,P01,P02,619
2024,P10,P020020159,NA,P201,P02,P02,71
2024,P10,P020020161,NA,P101,P01,P02,4
2024,P10,P020020161,NA,P101,P02,P02,13
2024,P10,P020020161,NA,P108,P01,P02,171
2024,P10,P020020161,NA,P108,P02,P02,9
2024,P10,P020020161,NA,P201,P01,P02,213
2024,P10,P020020161,NA,P201,P02,P02,37
2024,P10,P020020167,NA,P101,P01,P02,4
2024,P10,P020020167,NA,P108,P01,P02,350
2024,P10,P020020167,NA,P108,P02,P02,25
2024,P10,P020020167,NA,P201,P01,P02,314
2024,P10,P020020167,NA,P201,P02,P02,30
2024,P10,P020020169,NA,P101,P01,P02,7
2024,P10,P020020169,NA,P101,P02,P02,5
2024,P10,P020020169,NA,P108,P01,P02,119
2024,P10,P020020169,NA,P108,P02,P02,10
2024,P10,P020020169,NA,P201,P01,P02,222
2024,P10,P020020169,NA,P201,P02,P02,21
2024,P10,P020020183,NA,P101,P01,P02,3
2024,P10,P020020183,NA,P108,P01,P02,116
2024,P10,P020020183,NA,P108,P02,P02,5
2024,P10,P020020183,NA,P201,P01,P02,174
2024,P10,P020020183,NA,P201,P02,P02,11
2024,P10,P020020185,NA,P101,P01,P02,28
2024,P10,P020020185,NA,P101,P02,P02,71
2024,P10,P020020185,NA,P108,P01,P02,722
2024,P10,P020020185,NA,P108,P02,P02,55
2024,P10,P020020185,NA,P201,P01,P02,1610
2024,P10,P020020185,NA,P201,P02,P02,302
2024,P10,P020020186,NA,P101,P01,P02,6
2024,P10,P020020186,NA,P101,P02,P02,1
2024,P10,P020020186,NA,P108,P01,P02,20
2024,P10,P020020186,NA,P201,P01,P02,78
2024,P10,P020020186,NA,P201,P02,P02,8
2024,P10,P020020189,NA,P101,P01,P02,11
2024,P10,P020020189,NA,P201,P01,P02,1
2024,P10,P020020192,NA,P101,P01,P02,16
2024,P10,P020020192,NA,P101,P02,P02,5
2024,P10,P020020192,NA,P108,P01,P02,372
2024,P10,P020020192,NA,P108,P02,P02,16
2024,P10,P020020192,NA,P201,P01,P02,403
2024,P10,P020020192,NA,P201,P02,P02,61
2024,P10,P020020195,NA,P201,P01,P02,8
2024,P10,P020020195,NA,P201,P02,P02,5
2024,P10,P020020201,NA,P101,P01,P02,12
2024,P10,P020020201,NA,P101,P02,P02,3
2024,P10,P020020201,NA,P108,P01,P02,80
2024,P10,P020020201,NA,P108,P02,P02,1
2024,P10,P020020201,NA,P201,P01,P02,41
2024,P10,P020020201,NA,P201,P02,P02,3
2024,P10,P020020202,NA,P101,P01,P02,9
2024,P10,P020020202,NA,P101,P02,P02,1
2024,P10,P020020202,NA,P108,P01,P02,77
2024,P10,P020020202,NA,P108,P02,P02,1
2024,P10,P020020202,NA,P201,P01,P02,35
2024,P10,P020020202,NA,P201,P02,P02,1
2024,P10,P020020206,NA,P201,P02,P02,2
2024,P10,P020020211,NA,P101,P01,P02,2
2024,P10,P020020211,NA,P108,P01,P02,129
2024,P10,P020020211,NA,P108,P02,P02,3
2024,P10,P020020211,NA,P201,P01,P02,156
2024,P10,P020020211,NA,P201,P02,P02,18
2024,P10,P020020212,NA,P101,P01,P02,3
2024,P10,P020020212,NA,P101,P02,P02,2
2024,P10,P020020212,NA,P108,P01,P02,515
2024,P10,P020020212,NA,P108,P02,P02,16
2024,P10,P020020212,NA,P201,P01,P02,299
2024,P10,P020020212,NA,P201,P02,P02,34
2024,P10,P020020223,NA,P101,P01,P02,4
2024,P10,P020020223,NA,P108,P01,P02,6
2024,P10,P020020223,NA,P201,P01,P02,7
2024,P10,P020020225,NA,P101,P01,P02,11
2024,P10,P020020225,NA,P101,P02,P02,3
2024,P10,P020020225,NA,P108,P01,P02,90
2024,P10,P020020225,NA,P108,P02,P02,6
2024,P10,P020020225,NA,P201,P01,P02,441
2024,P10,P020020225,NA,P201,P02,P02,37
2024,P10,P020020227,NA,P101,P01,P02,6
2024,P10,P020020227,NA,P101,P02,P02,2
2024,P10,P020020227,NA,P108,P01,P02,344
2024,P10,P020020227,NA,P108,P02,P02,5
2024,P10,P020020227,NA,P201,P01,P02,352
2024,P10,P020020227,NA,P201,P02,P02,35
2024,P10,P020020229,NA,P101,P01,P02,5
2024,P10,P020020229,NA,P101,P02,P02,20
2024,P10,P020020229,NA,P108,P01,P02,404
2024,P10,P020020229,NA,P108,P02,P02,11
2024,P10,P020020229,NA,P201,P01,P02,547
2024,P10,P020020229,NA,P201,P02,P02,107
2024,P10,P020020231,NA,P101,P01,P02,23
2024,P10,P020020231,NA,P101,P02,P02,32
2024,P10,P020020231,NA,P108,P01,P02,1010
2024,P10,P020020231,NA,P108,P02,P02,49
2024,P10,P020020231,NA,P201,P01,P02,945
2024,P10,P020020231,NA,P201,P02,P02,173
2024,P10,P020020237,NA,P101,P01,P02,9
2024,P10,P020020237,NA,P101,P02,P02,24
2024,P10,P020020237,NA,P108,P01,P02,205
2024,P10,P020020237,NA,P108,P02,P02,16
2024,P10,P020020237,NA,P201,P01,P02,543
2024,P10,P020020237,NA,P201,P02,P02,71
2024,P10,P020020241,NA,P201,P01,P02,28
2024,P10,P020020241,NA,P201,P02,P02,3
2024,P10,P020020242,NA,P101,P01,P02,4
2024,P10,P020020242,NA,P101,P02,P02,3
2024,P10,P020020242,NA,P108,P01,P02,110
2024,P10,P020020242,NA,P108,P02,P02,4
2024,P10,P020020242,NA,P201,P01,P02,261
2024,P10,P020020242,NA,P201,P02,P02,9
2024,P10,P020020248,NA,P101,P01,P02,5
2024,P10,P020020248,NA,P108,P01,P02,2
2024,P10,P020020248,NA,P201,P01,P02,39
2024,P10,P020020251,NA,P201,P01,P02,2
2024,P10,P020020253,NA,P101,P01,P02,2
2024,P10,P020020253,NA,P101,P02,P02,1
2024,P10,P020020253,NA,P201,P01,P02,5
2024,P10,P020020253,NA,P201,P02,P02,2
2024,P10,P020020256,NA,P201,P01,P02,1
2024,P10,P020020257,NA,P101,P01,P02,4
2024,P10,P020020257,NA,P108,P01,P02,21
2024,P10,P020020257,NA,P201,P01,P02,21
2024,P10,P020020258,NA,P101,P01,P02,3
2024,P10,P020020258,NA,P108,P01,P02,2
2024,P10,P020020258,NA,P201,P01,P02,113
2024,P10,P020020258,NA,P201,P02,P02,5
2024,P10,P020020260,NA,P101,P01,P02,15
2024,P10,P020020260,NA,P101,P02,P02,20
2024,P10,P020020260,NA,P108,P01,P02,879
2024,P10,P020020260,NA,P108,P02,P02,31
2024,P10,P020020260,NA,P201,P01,P02,1043
2024,P10,P020020260,NA,P201,P02,P02,63
2024,P10,P020020262,NA,P101,P01,P02,13
2024,P10,P020020262,NA,P101,P02,P02,60
2024,P10,P020020262,NA,P108,P01,P02,2185
2024,P10,P020020262,NA,P108,P02,P02,45
2024,P10,P020020262,NA,P201,P01,P02,1864
2024,P10,P020020262,NA,P201,P02,P02,336
2024,P10,P020020265,NA,P101,P01,P02,4
2024,P10,P020020265,NA,P201,P01,P02,1
2024,P10,P020020266,NA,P101,P01,P02,3
2024,P10,P020020266,NA,P108,P01,P02,280
2024,P10,P020020266,NA,P108,P02,P02,4
2024,P10,P020020266,NA,P201,P01,P02,182
2024,P10,P020020266,NA,P201,P02,P02,6
2024,P10,P020020267,NA,P101,P01,P02,6
2024,P10,P020020267,NA,P101,P02,P02,1
2024,P10,P020020267,NA,P108,P01,P02,123
2024,P10,P020020267,NA,P108,P02,P02,4
2024,P10,P020020267,NA,P201,P01,P02,48
2024,P10,P020020268,NA,P101,P01,P02,7
2024,P10,P020020268,NA,P101,P02,P02,11
2024,P10,P020020268,NA,P108,P01,P02,292
2024,P10,P020020268,NA,P108,P02,P02,12
2024,P10,P020020268,NA,P201,P01,P02,312
2024,P10,P020020268,NA,P201,P02,P02,32
2024,P10,P020020270,NA,P101,P01,P02,1
2024,P10,P020020270,NA,P101,P02,P02,1
2024,P10,P020020270,NA,P108,P01,P02,308
2024,P10,P020020270,NA,P108,P02,P02,10
2024,P10,P020020270,NA,P201,P01,P02,273
2024,P10,P020020270,NA,P201,P02,P02,20
2024,P10,P020020272,NA,P201,P01,P02,1
2024,P10,P020020273,NA,P101,P01,P02,2
2024,P10,P020020273,NA,P201,P01,P02,1
2024,P10,P020020282,NA,P101,P01,P02,12
2024,P10,P020020282,NA,P101,P02,P02,14
2024,P10,P020020282,NA,P108,P01,P02,438
2024,P10,P020020282,NA,P108,P02,P02,18
2024,P10,P020020282,NA,P201,P01,P02,426
2024,P10,P020020282,NA,P201,P02,P02,36
2024,P10,P020020284,NA,P101,P01,P02,17
2024,P10,P020020284,NA,P101,P02,P02,1696
2024,P10,P020020284,NA,P108,P01,P02,1726
2024,P10,P020020284,NA,P108,P02,P02,116
2024,P10,P020020284,NA,P201,P01,P02,2065
2024,P10,P020020284,NA,P201,P02,P02,498
2024,P10,P020020289,NA,P101,P01,P02,35
2024,P10,P020020289,NA,P101,P02,P02,22
2024,P10,P020020289,NA,P108,P01,P02,993
2024,P10,P020020289,NA,P108,P02,P02,40
2024,P10,P020020289,NA,P201,P01,P02,2053
2024,P10,P020020289,NA,P201,P02,P02,124
2024,P10,P020020290,NA,P101,P01,P02,1
2024,P10,P020020290,NA,P108,P01,P02,27
2024,P10,P020020290,NA,P108,P02,P02,1
2024,P10,P020020290,NA,P201,P01,P02,107
2024,P10,P020020290,NA,P201,P02,P02,3
2024,P10,P020020291,NA,P101,P01,P02,13
2024,P10,P020020291,NA,P101,P02,P02,4
2024,P10,P020020291,NA,P108,P01,P02,295
2024,P10,P020020291,NA,P108,P02,P02,8
2024,P10,P020020291,NA,P201,P01,P02,301
2024,P10,P020020291,NA,P201,P02,P02,13
2024,P10,P020020295,NA,P101,P01,P02,3
2024,P10,P020020295,NA,P101,P02,P02,459
2024,P10,P020020295,NA,P108,P01,P02,71
2024,P10,P020020295,NA,P108,P02,P02,2
2024,P10,P020020295,NA,P201,P01,P02,81
2024,P10,P020020295,NA,P201,P02,P02,5
2024,P10,P020020305,NA,P101,P01,P02,2
2024,P10,P020020305,NA,P108,P01,P02,1
2024,P10,P020020305,NA,P201,P01,P02,15
2024,P10,P020020305,NA,P201,P02,P02,1
2024,P10,P020020311,NA,P201,P01,P02,30
2024,P10,P020020311,NA,P201,P02,P02,1
2024,P10,P020020358,NA,P101,P01,P02,4
2024,P10,P020020358,NA,P101,P02,P02,1
2024,P10,P020020358,NA,P201,P01,P02,31
2024,P10,P020020358,NA,P201,P02,P02,8
2024,P10,P020020378,NA,P101,P01,P02,3
2024,P10,P020020378,NA,P101,P02,P02,3
2024,P10,P020020378,NA,P108,P01,P02,117
2024,P10,P020020378,NA,P108,P02,P02,4
2024,P10,P020020378,NA,P201,P01,P02,173
2024,P10,P020020378,NA,P201,P02,P02,23
2024,P10,P020020394,NA,P201,P02,P02,1
2024,P10,P020020395,NA,P101,P01,P02,3
2024,P10,P020020395,NA,P101,P02,P02,2
2024,P10,P020020412,NA,P108,P01,P02,104
2024,P10,P020020412,NA,P108,P02,P02,9
2024,P10,P020020412,NA,P201,P01,P02,86
2024,P10,P020020412,NA,P201,P02,P02,12
2024,P10,P020020456,NA,P101,P01,P02,29
2024,P10,P020020456,NA,P101,P02,P02,13
2024,P10,P020020456,NA,P108,P01,P02,320
2024,P10,P020020456,NA,P108,P02,P02,9
2024,P10,P020020456,NA,P201,P01,P02,392
2024,P10,P020020456,NA,P201,P02,P02,84
2024,P10,P020020459,NA,P101,P01,P02,32
2024,P10,P020020459,NA,P101,P02,P02,1
2024,P10,P020020459,NA,P108,P01,P02,180
2024,P10,P020020459,NA,P108,P02,P02,9
2024,P10,P020020459,NA,P201,P01,P02,292
2024,P10,P020020459,NA,P201,P02,P02,33
2024,P10,P020021174,NA,P101,P01,P02,5
2024,P10,P020021174,NA,P101,P02,P02,42
2024,P10,P020021174,NA,P108,P01,P02,110
2024,P10,P020021174,NA,P108,P02,P02,15
2024,P10,P020021174,NA,P201,P01,P02,562
