C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P071240015,No,Si,No,No
2024,P071240188,No,Si,No,No
2024,P080010378,No,Si,No,No
2024,P080060133,No,Si,No,No
2024,P080070253,No,Si,No,No
2024,P080510238,No,Si,No,No
2024,P089999999,No,Si,No,No
2024,P090020407,No,Si,No,No
2024,P090020446,No,Si,No,No
2024,P090030001,No,Si,No,No
2024,P090030691,No,Si,No,No
2024,P090040732,No,Si,No,No
2024,P090051190,No,Si,No,No
2024,P090071382,No,Si,No,No
2024,P090071547,No,Si,No,No
2024,P090100204,No,Si,No,No
2024,P090150001,No,Si,No,No
2024,P100010112,No,Si,No,No
2024,P100050001,No,Si,No,No
2024,P100050366,No,Si,No,No
2024,P100071137,No,Si,No,No
2024,P100120001,No,Si,No,No
2024,P100200015,No,Si,No,No
2024,P100210800,No,Si,No,No
2024,P100260750,No,Si,No,No
2024,P100270001,No,Si,No,No
2024,P100270014,No,Si,No,No
2024,P100271789,No,Si,No,No
2024,P100301566,No,Si,No,No
2024,P110049999,No,Si,No,No
2024,P110070033,No,Si,No,No
2024,P110072416,No,Si,No,No
2024,P110155066,No,Si,No,No
2024,P110170393,No,Si,No,No
2024,P110170507,No,Si,No,No
2024,P110200001,No,Si,No,No
2024,P110200381,No,Si,No,No
2024,P110329999,No,Si,No,No
2024,P119999999,No,Si,No,No
2024,P120210017,No,Si,No,No
2024,P120410001,No,Si,No,No
2024,P120540001,No,Si,No,No
2024,P130150013,No,Si,No,No
2024,P070780030,No,Si,No,No
2024,P070890001,No,Si,No,No
2024,P070891809,No,Si,No,No
2024,P071000009,No,Si,No,No
2024,P071010166,No,Si,No,No
2024,P071030012,No,Si,No,No
2024,P071240001,No,Si,No,No
2024,P080010803,No,Si,No,No
2024,P080060001,No,Si,No,No
2024,P080110891,No,Si,No,No
2024,P080170137,No,Si,No,No
2024,P080190243,No,Si,No,No
2024,P080210001,No,Si,No,No
2024,P080230033,No,Si,No,No
2024,P080240046,No,Si,No,No
2024,P080369999,No,Si,No,No
2024,P070240025,No,Si,No,No
2024,P070310446,No,Si,No,No
2024,P070341107,No,Si,No,No
2024,P070490024,No,Si,No,No
2024,P080370750,No,Si,No,No
2024,P080510206,No,Si,No,No
2024,P090030613,No,Si,No,No
2024,P090030706,No,Si,No,No
2024,P090051095,No,Si,No,No
2024,P090122049,No,Si,No,No
2024,P090122109,No,Si,No,No
2024,P090122157,No,Si,No,No
2024,P090051016,No,Si,No,No
2024,P090051072,No,Si,No,No
2024,P090051162,No,Si,No,No
2024,P090061258,No,Si,No,No
2024,P070520075,No,Si,No,No
2024,P070701965,No,Si,No,No
2024,P070871816,No,Si,No,No
2024,P070990224,No,Si,No,No
2024,P090100025,No,Si,No,No
2024,P090100034,No,Si,No,No
2024,P090122074,No,Si,No,No
2024,P090132385,No,Si,No,No
2024,P090122879,No,Si,No,No
2024,P090132494,No,Si,No,No
2024,P090140493,No,Si,No,No
2024,P090140496,No,Si,No,No
2024,P080650004,No,Si,No,No
2024,P090020385,No,Si,No,No
2024,P090030580,No,Si,No,No
2024,P090030622,No,Si,No,No
2024,P090140548,No,Si,No,No
2024,P090161860,No,Si,No,No
2024,P090172312,No,Si,No,No
2024,P090172354,No,Si,No,No
2024,P130180034,No,Si,No,No
2024,P130250003,No,Si,No,No
2024,P130250042,No,Si,No,No
2024,P130280001,No,Si,No,No
2024,P071000005,No,Si,No,No
2024,P071010001,No,Si,No,No
2024,P071010229,No,Si,No,No
2024,P071020001,No,Si,No,No
2024,P090030708,No,Si,No,No
2024,P090051203,No,Si,No,No
2024,P090071410,No,Si,No,No
2024,P090100001,No,Si,No,No
2024,P090150838,No,Si,No,No
2024,P090150919,No,Si,No,No
2024,P090162785,No,Si,No,No
2024,P100020547,No,Si,No,No
2024,P100040001,No,Si,No,No
2024,P100050173,No,Si,No,No
2024,P100051737,No,Si,No,No
2024,P100060001,No,Si,No,No
2024,P100071012,No,Si,No,No
2024,P100071175,No,Si,No,No
2024,P100121305,No,Si,No,No
2024,P100140001,No,Si,No,No
2024,P090100009,No,Si,No,No
2024,P090100082,No,Si,No,No
2024,P090122027,No,Si,No,No
2024,P090161785,No,Si,No,No
2024,P100140202,No,Si,No,No
2024,P100230082,No,Si,No,No
2024,P100290001,No,Si,No,No
2024,P100320631,No,Si,No,No
2024,P100050074,No,Si,No,No
2024,P100050185,No,Si,No,No
2024,P100070001,No,Si,No,No
2024,P100111528,No,Si,No,No
2024,P090161822,No,Si,No,No
2024,P090172358,No,Si,No,No
2024,P100070028,No,Si,No,No
2024,P100070999,No,Si,No,No
2024,P100131374,No,Si,No,No
2024,P100140985,No,Si,No,No
2024,P100141473,No,Si,No,No
2024,P100170001,No,Si,No,No
2024,P071060001,No,Si,No,No
2024,P071081391,No,Si,No,No
2024,P080010003,No,Si,No,No
2024,P080032086,No,Si,No,No
2024,P100071176,No,Si,No,No
2024,P100079999,No,Si,No,No
2024,P100120026,No,Si,No,No
2024,P100181655,No,Si,No,No
2024,P130280025,No,Si,No,No
