C601,C602,C102,C002,C205,C309,R010-0201
2021,P01,P01,P30039,P003,P011,8036
2021,P01,P01,P30044,P003,P011,9050
2021,P01,P01,P30087,P003,P011,37841
2021,P01,P01,P30108,P003,P011,5276
2021,P01,P01,P30118,P003,P011,9172
2021,P01,P01,P30131,P003,P011,7337
2021,P01,P01,P30193,P003,P011,31506
2021,P01,P01,P31050,P003,P011,31912
2021,P01,P02,P01001,P003,P011,4282
2021,P01,P02,P01002,P003,P011,1
2021,P01,P02,P01004,P003,P011,1
2021,P01,P02,P01005,P003,P011,314
2021,P01,P02,P01007,P003,P011,1
2021,P01,P02,P01010,P003,P011,1
2021,P01,P02,P01011,P003,P011,29
2021,P01,P02,P02001,P003,P011,418
2021,P01,P02,P02002,P003,P011,850
2021,P01,P02,P02003,P003,P011,17
2021,P01,P02,P02004,P003,P011,6122
2021,P01,P02,P02005,P003,P011,309
2021,P01,P02,P03003,P003,P011,32
2021,P01,P02,P03008,P003,P011,30
2021,P01,P02,P04001,P003,P011,2
2021,P01,P02,P04002,P003,P011,125
2021,P01,P02,P04003,P003,P011,43
2021,P01,P02,P04005,P003,P011,1
2021,P01,P02,P04006,P003,P011,1
2021,P01,P02,P04009,P003,P011,1
2021,P01,P02,P05002,P003,P011,9
2021,P01,P02,P05004,P003,P011,9
2021,P01,P02,P05010,P003,P011,4
2021,P01,P02,P05017,P003,P011,2
2021,P01,P02,P05018,P003,P011,28
2021,P01,P02,P05025,P003,P011,23
2021,P01,P02,P05027,P003,P011,77
2021,P01,P02,P05028,P003,P011,5
2021,P01,P02,P05030,P003,P011,918
2021,P01,P02,P05034,P003,P011,1
2021,P01,P02,P05035,P003,P011,1141
2021,P01,P02,P06002,P003,P011,62
2021,P01,P02,P06007,P003,P011,67
2021,P01,P02,P06009,P003,P011,3
2021,P01,P02,P06010,P003,P011,25
2021,P01,P02,P07019,P003,P011,1
2021,P01,P02,P07027,P003,P011,1
2021,P01,P02,P07034,P003,P011,2
2021,P01,P02,P07037,P003,P011,1
2021,P01,P02,P07040,P003,P011,3
2021,P01,P02,P07046,P003,P011,1
2021,P01,P02,P07065,P003,P011,2
2021,P01,P02,P07069,P003,P011,14
2021,P01,P02,P07078,P003,P011,19
2021,P01,P02,P07079,P003,P011,2
2021,P01,P02,P07087,P003,P011,3
2021,P01,P02,P07089,P003,P011,95
2021,P01,P02,P07097,P003,P011,1
2021,P01,P02,P07099,P003,P011,1
2021,P01,P02,P07101,P003,P011,3550
2021,P01,P02,P07102,P003,P011,1
2021,P01,P02,P07103,P003,P011,2
2021,P01,P02,P07108,P003,P011,1
2021,P01,P02,P08001,P003,P011,1
2021,P01,P02,P08017,P003,P011,15
2021,P01,P02,P08019,P003,P011,3329
2021,P01,P02,P08021,P003,P011,199
2021,P01,P02,P08029,P003,P011,5
2021,P01,P02,P08032,P003,P011,14
2021,P01,P02,P08035,P003,P011,1
2021,P01,P02,P08037,P003,P011,5268
2021,P01,P02,P08039,P003,P011,1
2021,P01,P02,P08045,P003,P011,8
2021,P01,P02,P08048,P003,P011,1
2021,P01,P02,P08051,P003,P011,3
2021,P01,P02,P08065,P003,P011,1
2021,P01,P02,P09002,P003,P011,2548
2021,P01,P02,P09003,P003,P011,2040
2021,P01,P02,P09004,P003,P011,945
2021,P01,P02,P09005,P003,P011,3100
2021,P01,P02,P09006,P003,P011,1368
2021,P01,P02,P09007,P003,P011,8406
2021,P01,P02,P09008,P003,P011,1047
2021,P01,P02,P09009,P003,P011,5
2021,P01,P02,P09010,P003,P011,4026
2021,P01,P02,P09011,P003,P011,140
2021,P01,P02,P09012,P003,P011,2406
2021,P01,P02,P09013,P003,P011,746
2021,P01,P02,P09014,P003,P011,6437
2021,P01,P02,P09015,P003,P011,3520
2021,P01,P02,P09016,P003,P011,3441
2021,P01,P02,P09017,P003,P011,1884
2021,P01,P02,P10004,P003,P011,1
2021,P01,P02,P10005,P003,P011,110
2021,P01,P02,P10007,P003,P011,199
2021,P01,P02,P10012,P003,P011,92
2021,P01,P02,P10015,P003,P011,1
2021,P01,P02,P10037,P003,P011,1
2021,P01,P02,P11002,P003,P011,5
2021,P01,P02,P11003,P003,P011,78
2021,P01,P02,P11004,P003,P011,2
2021,P01,P02,P11005,P003,P011,12
2021,P01,P02,P11007,P003,P011,972
2021,P01,P02,P11008,P003,P011,3
2021,P01,P02,P11011,P003,P011,1
2021,P01,P02,P11013,P003,P011,5
2021,P01,P02,P11014,P003,P011,5
2021,P01,P02,P11015,P003,P011,89
2021,P01,P02,P11017,P003,P011,643
2021,P01,P02,P11020,P003,P011,5726
2021,P01,P02,P11021,P003,P011,2
2021,P01,P02,P11022,P003,P011,2
2021,P01,P02,P11023,P003,P011,4
2021,P01,P02,P11025,P003,P011,17
2021,P01,P02,P11027,P003,P011,161
2021,P01,P02,P11028,P003,P011,1
2021,P01,P02,P11029,P003,P011,2
2021,P01,P02,P11030,P003,P011,5
2021,P01,P02,P11031,P003,P011,326
2021,P01,P02,P11032,P003,P011,4
2021,P01,P02,P11033,P003,P011,3
2021,P01,P02,P11035,P003,P011,2
2021,P01,P02,P11037,P003,P011,93
2021,P01,P02,P11041,P003,P011,2
2021,P01,P02,P11042,P003,P011,2
2021,P01,P02,P11044,P003,P011,4
2021,P01,P02,P11046,P003,P011,1
2021,P01,P02,P12001,P003,P011,346
2021,P01,P02,P12021,P003,P011,1
2021,P01,P02,P12028,P003,P011,1
2021,P01,P02,P12029,P003,P011,31
2021,P01,P02,P12035,P003,P011,6
2021,P01,P02,P12038,P003,P011,5
2021,P01,P02,P12042,P003,P011,1
2021,P01,P02,P12055,P003,P011,3
2021,P01,P02,P12061,P003,P011,1
2021,P01,P02,P13003,P003,P011,1
2021,P01,P02,P13005,P003,P011,1
2021,P01,P02,P13008,P003,P011,1
2021,P01,P02,P13010,P003,P011,3
2021,P01,P02,P13012,P003,P011,1
2021,P01,P02,P13017,P003,P011,1
2021,P01,P02,P13021,P003,P011,1
2021,P01,P02,P13024,P003,P011,1
2021,P01,P02,P13027,P003,P011,2
2021,P01,P02,P13028,P003,P011,1
2021,P01,P02,P13030,P003,P011,4
2021,P01,P02,P13043,P003,P011,1
2021,P01,P02,P13048,P003,P011,2992
2021,P01,P02,P13051,P003,P011,958
2021,P01,P02,P13052,P003,P011,46
2021,P01,P02,P13054,P003,P011,1
2021,P01,P02,P13059,P003,P011,1
2021,P01,P02,P13061,P003,P011,6
2021,P01,P02,P13063,P003,P011,4
2021,P01,P02,P13069,P003,P011,9
2021,P01,P02,P13070,P003,P011,3
2021,P01,P02,P13072,P003,P011,1
2021,P01,P02,P13074,P003,P011,2
2021,P01,P02,P13075,P003,P011,1
2021,P01,P02,P13076,P003,P011,8
2021,P01,P02,P13077,P003,P011,756
2021,P01,P02,P13078,P003,P011,1
2021,P01,P02,P13082,P003,P011,10
2021,P01,P02,P13083,P003,P011,25
2021,P01,P02,P14008,P003,P011,7
2021,P01,P02,P14013,P003,P011,1
2021,P01,P02,P14015,P003,P011,9
2021,P01,P02,P14023,P003,P011,21
2021,P01,P02,P14029,P003,P011,2
2021,P01,P02,P14030,P003,P011,50
2021,P01,P02,P14033,P003,P011,3
2021,P01,P02,P14039,P003,P011,8158
2021,P01,P02,P14042,P003,P011,2
2021,P01,P02,P14044,P003,P011,4
2021,P01,P02,P14048,P003,P011,3
2021,P01,P02,P14050,P003,P011,1
2021,P01,P02,P14053,P003,P011,31
2021,P01,P02,P14063,P003,P011,17
2021,P01,P02,P14067,P003,P011,678
2021,P01,P02,P14070,P003,P011,934
2021,P01,P02,P14083,P003,P011,2
2021,P01,P02,P14091,P003,P011,1
2021,P01,P02,P14093,P003,P011,23
2021,P01,P02,P14094,P003,P011,5
2021,P01,P02,P14097,P003,P011,776
2021,P01,P02,P14098,P003,P011,1984
2021,P01,P02,P14100,P003,P011,10
2021,P01,P02,P14101,P003,P011,607
2021,P01,P02,P14105,P003,P011,1
2021,P01,P02,P14118,P003,P011,1
2021,P01,P02,P14119,P003,P011,1
2021,P01,P02,P14120,P003,P011,5617
2021,P01,P02,P14123,P003,P011,1
2021,P01,P02,P14124,P003,P011,1
2021,P01,P02,P15002,P003,P011,53
2021,P01,P02,P15005,P003,P011,1
2021,P01,P02,P15008,P003,P011,1
2021,P01,P02,P15009,P003,P011,1
2021,P01,P02,P15010,P003,P011,2
2021,P01,P02,P15011,P003,P011,22
2021,P01,P02,P15012,P003,P011,1
2021,P01,P02,P15013,P003,P011,1022
2021,P01,P02,P15014,P003,P011,12
2021,P01,P02,P15016,P003,P011,3
2021,P01,P02,P15018,P003,P011,6
2021,P01,P02,P15020,P003,P011,633
2021,P01,P02,P15023,P003,P011,2
2021,P01,P02,P15024,P003,P011,1512
2021,P01,P02,P15025,P003,P011,39
2021,P01,P02,P15027,P003,P011,5
2021,P01,P02,P15028,P003,P011,9
2021,P01,P02,P15029,P003,P011,38
2021,P01,P02,P15030,P003,P011,326
2021,P01,P02,P15031,P003,P011,341
2021,P01,P02,P15033,P003,P011,3807
2021,P01,P02,P15035,P003,P011,13
2021,P01,P02,P15037,P003,P011,345
2021,P01,P02,P15039,P003,P011,70
2021,P01,P02,P15040,P003,P011,3
2021,P01,P02,P15042,P003,P011,9
2021,P01,P02,P15044,P003,P011,4
2021,P01,P02,P15045,P003,P011,1
2021,P01,P02,P15047,P003,P011,1
2021,P01,P02,P15048,P003,P011,2
2021,P01,P02,P15051,P003,P011,680
2021,P01,P02,P15052,P003,P011,26
2021,P01,P02,P15053,P003,P011,357
2021,P01,P02,P15054,P003,P011,1014
2021,P01,P02,P15055,P003,P011,9
2021,P01,P02,P15057,P003,P011,2100
2021,P01,P02,P15058,P003,P011,2147
2021,P01,P02,P15059,P003,P011,7
2021,P01,P02,P15060,P003,P011,693
2021,P01,P02,P15062,P003,P011,4
2021,P01,P02,P15063,P003,P011,1
2021,P01,P02,P15065,P003,P011,6
2021,P01,P02,P15067,P003,P011,7
2021,P01,P02,P15068,P003,P011,2
2021,P01,P02,P15070,P003,P011,200
2021,P01,P02,P15073,P003,P011,3
2021,P01,P02,P15075,P003,P011,3
2021,P01,P02,P15076,P003,P011,193
2021,P01,P02,P15078,P003,P011,1
2021,P01,P02,P15081,P003,P011,1712
2021,P01,P02,P15082,P003,P011,1
2021,P01,P02,P15084,P003,P011,3
2021,P01,P02,P15088,P003,P011,6
2021,P01,P02,P15090,P003,P011,8
2021,P01,P02,P15091,P003,P011,6
2021,P01,P02,P15092,P003,P011,15
2021,P01,P02,P15093,P003,P011,1
2021,P01,P02,P15094,P003,P011,1
2021,P01,P02,P15095,P003,P011,52
2021,P01,P02,P15098,P003,P011,1
2021,P01,P02,P15099,P003,P011,286
2021,P01,P02,P15100,P003,P011,24
2021,P01,P02,P15101,P003,P011,3
2021,P01,P02,P15103,P003,P011,1
2021,P01,P02,P15104,P003,P011,2919
2021,P01,P02,P15106,P003,P011,4029
2021,P01,P02,P15107,P003,P011,1
2021,P01,P02,P15108,P003,P011,153
2021,P01,P02,P15109,P003,P011,1526
2021,P01,P02,P15110,P003,P011,78
2021,P01,P02,P15112,P003,P011,1
2021,P01,P02,P15115,P003,P011,4
2021,P01,P02,P15118,P003,P011,269
2021,P01,P02,P15120,P003,P011,31
2021,P01,P02,P15121,P003,P011,633
2021,P01,P02,P15122,P003,P011,32
2021,P01,P02,P15124,P003,P011,3
2021,P01,P02,P16003,P003,P011,1
2021,P01,P02,P16006,P003,P011,7
2021,P01,P02,P16019,P003,P011,1
2021,P01,P02,P16034,P003,P011,1
2021,P01,P02,P16043,P003,P011,3
2021,P01,P02,P16052,P003,P011,41
2021,P01,P02,P16053,P003,P011,1446
2021,P01,P02,P16068,P003,P011,1
2021,P01,P02,P16069,P003,P011,12
2021,P01,P02,P16075,P003,P011,5
2021,P01,P02,P16076,P003,P011,3
2021,P01,P02,P16088,P003,P011,6
2021,P01,P02,P16102,P003,P011,26
2021,P01,P02,P16108,P003,P011,13
2021,P01,P02,P17003,P003,P011,1
2021,P01,P02,P17006,P003,P011,26
2021,P01,P02,P17007,P003,P011,1811
2021,P01,P02,P17008,P003,P011,159
2021,P01,P02,P17009,P003,P011,1
2021,P01,P02,P17011,P003,P011,477
2021,P01,P02,P17012,P003,P011,7
2021,P01,P02,P17017,P003,P011,4
2021,P01,P02,P17018,P003,P011,165
2021,P01,P02,P17026,P003,P011,1
2021,P01,P02,P17028,P003,P011,92
2021,P01,P02,P17029,P003,P011,2
2021,P01,P02,P17030,P003,P011,2
2021,P01,P02,P17031,P003,P011,4
2021,P01,P02,P18004,P003,P011,1
2021,P01,P02,P18008,P003,P011,1
2021,P01,P02,P18015,P003,P011,2
2021,P01,P02,P18017,P003,P011,155
2021,P01,P02,P18020,P003,P011,214
2021,P01,P02,P19004,P003,P011,3
2021,P01,P02,P19005,P003,P011,3
2021,P01,P02,P19006,P003,P011,1284
2021,P01,P02,P19007,P003,P011,1
2021,P01,P02,P19009,P003,P011,8
2021,P01,P02,P19010,P003,P011,1
2021,P01,P02,P19012,P003,P011,11
2021,P01,P02,P19017,P003,P011,1
2021,P01,P02,P19018,P003,P011,39
2021,P01,P02,P19019,P003,P011,845
2021,P01,P02,P19021,P003,P011,595
2021,P01,P02,P19026,P003,P011,1562
2021,P01,P02,P19031,P003,P011,211
2021,P01,P02,P19033,P003,P011,2
2021,P01,P02,P19038,P003,P011,3
2021,P01,P02,P19039,P003,P011,5034
2021,P01,P02,P19041,P003,P011,26
2021,P01,P02,P19045,P003,P011,6
2021,P01,P02,P19046,P003,P011,1301
2021,P01,P02,P19047,P003,P011,1
2021,P01,P02,P19048,P003,P011,468
2021,P01,P02,P19049,P003,P011,3
2021,P01,P02,P19050,P003,P011,1
2021,P01,P02,P20039,P003,P011,9
2021,P01,P02,P20043,P003,P011,4
2021,P01,P02,P20044,P003,P011,1
2021,P01,P02,P20059,P003,P011,1
2021,P01,P02,P20067,P003,P011,125
2021,P01,P02,P20068,P003,P011,1
2021,P01,P02,P20079,P003,P011,11
2021,P01,P02,P20083,P003,P011,1
2021,P01,P02,P20091,P003,P011,1
2021,P01,P02,P20107,P003,P011,2
2021,P01,P02,P20123,P003,P011,1
2021,P01,P02,P20131,P003,P011,3
2021,P01,P02,P20145,P003,P011,1
2021,P01,P02,P20157,P003,P011,1
2021,P01,P02,P20184,P003,P011,6
2021,P01,P02,P20227,P003,P011,3
2021,P01,P02,P20269,P003,P011,1
2021,P01,P02,P20293,P003,P011,4
2021,P01,P02,P20310,P003,P011,4
2021,P01,P02,P20327,P003,P011,1
2021,P01,P02,P20338,P003,P011,4
2021,P01,P02,P20360,P003,P011,1
2021,P01,P02,P20364,P003,P011,1
2021,P01,P02,P20375,P003,P011,2
2021,P01,P02,P20382,P003,P011,1
2021,P01,P02,P20385,P003,P011,11
2021,P01,P02,P20390,P003,P011,5
2021,P01,P02,P20393,P003,P011,1
2021,P01,P02,P20399,P003,P011,2
2021,P01,P02,P20413,P003,P011,10
2021,P01,P02,P20447,P003,P011,2
2021,P01,P02,P20461,P003,P011,2
2021,P01,P02,P20491,P003,P011,1
2021,P01,P02,P20495,P003,P011,1
2021,P01,P02,P20517,P003,P011,1
2021,P01,P02,P20553,P003,P011,4
2021,P01,P02,P21001,P003,P011,1
2021,P01,P02,P21012,P003,P011,1
2021,P01,P02,P21015,P003,P011,24
2021,P01,P02,P21019,P003,P011,3
2021,P01,P02,P21034,P003,P011,39
2021,P01,P02,P21040,P003,P011,2
2021,P01,P02,P21041,P003,P011,391
2021,P01,P02,P21043,P003,P011,1
2021,P01,P02,P21051,P003,P011,1
2021,P01,P02,P21057,P003,P011,1
2021,P01,P02,P21071,P003,P011,5
2021,P01,P02,P21074,P003,P011,76
2021,P01,P02,P21082,P003,P011,1
2021,P01,P02,P21085,P003,P011,1
2021,P01,P02,P21090,P003,P011,19
2021,P01,P02,P21106,P003,P011,1
2021,P01,P02,P21114,P003,P011,8532
2021,P01,P02,P21117,P003,P011,1
2021,P01,P02,P21119,P003,P011,1125
2021,P01,P02,P21125,P003,P011,2
2021,P01,P02,P21132,P003,P011,7
2021,P01,P02,P21136,P003,P011,1
2021,P01,P02,P21140,P003,P011,363
2021,P01,P02,P21149,P003,P011,1
2021,P01,P02,P21152,P003,P011,1
2021,P01,P02,P21154,P003,P011,1
2021,P01,P02,P21156,P003,P011,26
2021,P01,P02,P21163,P003,P011,9
2021,P01,P02,P21174,P003,P011,3
2021,P01,P02,P21175,P003,P011,3
2021,P01,P02,P21181,P003,P011,1
2021,P01,P02,P21188,P003,P011,1
2021,P01,P02,P21197,P003,P011,1
2021,P01,P02,P22002,P003,P011,1
2021,P01,P02,P22004,P003,P011,1
2021,P01,P02,P22005,P003,P011,27
2021,P01,P02,P22006,P003,P011,334
2021,P01,P02,P22007,P003,P011,2
2021,P01,P02,P22008,P003,P011,3
2021,P01,P02,P22009,P003,P011,1
2021,P01,P02,P22011,P003,P011,304
2021,P01,P02,P22012,P003,P011,50
2021,P01,P02,P22014,P003,P011,3204
2021,P01,P02,P22016,P003,P011,234
2021,P01,P02,P22017,P003,P011,40
2021,P01,P02,P22018,P003,P011,2
2021,P01,P02,P23001,P003,P011,18
2021,P01,P02,P23002,P003,P011,2
2021,P01,P02,P23003,P003,P011,18
2021,P01,P02,P23004,P003,P011,494
2021,P01,P02,P23005,P003,P011,3246
2021,P01,P02,P23007,P003,P011,1
2021,P01,P02,P23008,P003,P011,1142
2021,P01,P02,P23009,P003,P011,35
2021,P01,P02,P23010,P003,P011,2
2021,P01,P02,P24013,P003,P011,20
2021,P01,P02,P24015,P003,P011,1
2021,P01,P02,P24016,P003,P011,1
2021,P01,P02,P24020,P003,P011,9
2021,P01,P02,P24025,P003,P011,2
2021,P01,P02,P24028,P003,P011,3630
2021,P01,P02,P24030,P003,P011,1
2021,P01,P02,P24035,P003,P011,844
2021,P01,P02,P25001,P003,P011,531
2021,P01,P02,P25004,P003,P011,3
2021,P01,P02,P25006,P003,P011,1328
2021,P01,P02,P25008,P003,P011,1
2021,P01,P02,P25010,P003,P011,1
2021,P01,P02,P25011,P003,P011,9
2021,P01,P02,P25012,P003,P011,711
2021,P01,P02,P25015,P003,P011,7
2021,P01,P02,P25018,P003,P011,3
2021,P01,P02,P26002,P003,P011,4
2021,P01,P02,P26006,P003,P011,1
2021,P01,P02,P26018,P003,P011,82
2021,P01,P02,P26025,P003,P011,1
2021,P01,P02,P26029,P003,P011,19
2021,P01,P02,P26030,P003,P011,2432
2021,P01,P02,P26042,P003,P011,21
2021,P01,P02,P26043,P003,P011,49
2021,P01,P02,P26048,P003,P011,14
2021,P01,P02,P26055,P003,P011,11
2021,P01,P02,P26068,P003,P011,1
2021,P01,P02,P27002,P003,P011,15
2021,P01,P02,P27003,P003,P011,1
2021,P01,P02,P27004,P003,P011,882
2021,P01,P02,P27005,P003,P011,12
2021,P01,P02,P27006,P003,P011,2
2021,P01,P02,P27012,P003,P011,4
2021,P01,P02,P27013,P003,P011,3
2021,P01,P02,P27014,P003,P011,20
2021,P01,P02,P27015,P003,P011,1
2021,P01,P02,P27016,P003,P011,4
2021,P01,P02,P27017,P003,P011,2
2021,P01,P02,P28003,P003,P011,23
2021,P01,P02,P28009,P003,P011,75
2021,P01,P02,P28021,P003,P011,5
2021,P01,P02,P28022,P003,P011,44
2021,P01,P02,P28027,P003,P011,82
2021,P01,P02,P28032,P003,P011,45
2021,P01,P02,P28038,P003,P011,142
2021,P01,P02,P28041,P003,P011,205
2021,P01,P02,P29002,P003,P011,1
2021,P01,P02,P29005,P003,P011,19
2021,P01,P02,P29010,P003,P011,3
2021,P01,P02,P29015,P003,P011,1
2021,P01,P02,P29025,P003,P011,2
2021,P01,P02,P29026,P003,P011,1
2021,P01,P02,P29033,P003,P011,19
2021,P01,P02,P29041,P003,P011,2
2021,P01,P02,P29043,P003,P011,7
2021,P01,P02,P30003,P003,P011,12
2021,P01,P02,P30011,P003,P011,3
2021,P01,P02,P30014,P003,P011,12
2021,P01,P02,P30016,P003,P011,1
2021,P01,P02,P30026,P003,P011,53
2021,P01,P02,P30028,P003,P011,940
2021,P01,P02,P30030,P003,P011,9
2021,P01,P02,P30038,P003,P011,173
2021,P01,P02,P30039,P003,P011,569
2021,P01,P02,P30040,P003,P011,7
2021,P01,P02,P30044,P003,P011,546
2021,P01,P02,P30045,P003,P011,5
2021,P01,P02,P30048,P003,P011,1
2021,P01,P02,P30050,P003,P011,1
2021,P01,P02,P30058,P003,P011,3
2021,P01,P02,P30061,P003,P011,1
2021,P01,P02,P30065,P003,P011,78
2021,P01,P02,P30068,P003,P011,26
2021,P01,P02,P30071,P003,P011,1
2021,P01,P02,P30074,P003,P011,2
2021,P01,P02,P30085,P003,P011,18
2021,P01,P02,P30087,P003,P011,3784
2021,P01,P02,P30101,P003,P011,2
2021,P01,P02,P30102,P003,P011,7
2021,P01,P02,P30105,P003,P011,2
2021,P01,P02,P30108,P003,P011,315
2021,P01,P02,P30109,P003,P011,1
2021,P01,P02,P30115,P003,P011,3
2021,P01,P02,P30116,P003,P011,1
2021,P01,P02,P30118,P003,P011,569
2021,P01,P02,P30123,P003,P011,3
2021,P01,P02,P30128,P003,P011,2
2021,P01,P02,P30131,P003,P011,279
2021,P01,P02,P30132,P003,P011,1
2021,P01,P02,P30135,P003,P011,1
2021,P01,P02,P30138,P003,P011,11
2021,P01,P02,P30141,P003,P011,6
2021,P01,P02,P30145,P003,P011,1
2021,P01,P02,P30149,P003,P011,2
2021,P01,P02,P30174,P003,P011,5
2021,P01,P02,P30175,P003,P011,4
2021,P01,P02,P30182,P003,P011,1
2021,P01,P02,P30189,P003,P011,10
2021,P01,P02,P30193,P003,P011,2441
2021,P01,P02,P31013,P003,P011,22
2021,P01,P02,P31019,P003,P011,1
2021,P01,P02,P31041,P003,P011,7
2021,P01,P02,P31050,P003,P011,5671
2021,P01,P02,P31059,P003,P011,6
2021,P01,P02,P31068,P003,P011,1
2021,P01,P02,P31085,P003,P011,1
2021,P01,P02,P31089,P003,P011,1
2021,P01,P02,P31096,P003,P011,1
2021,P01,P02,P31101,P003,P011,53
2021,P01,P02,P32005,P003,P011,2
2021,P01,P02,P32007,P003,P011,1
2021,P01,P02,P32009,P003,P011,1
2021,P01,P02,P32010,P003,P011,16
2021,P01,P02,P32017,P003,P011,13
2021,P01,P02,P32029,P003,P011,1
2021,P01,P02,P32032,P003,P011,1
2021,P01,P02,P32056,P003,P011,27
2021,P01,P02,P32057,P003,P011,1
2021,P01,P02,P32058,P003,P011,2
2021,P01,P02,XXX,P003,P011,3273
2021,P01,P02,P19025,P003,P011,2
2021,P01,P02,P08002,P003,P011,1
2021,P01,P02,P08052,P003,P011,1
2021,P01,P02,P11018,P003,P011,1
2021,P01,P02,P12033,P003,P011,1
2021,P01,P02,P14006,P003,P011,1
2021,P01,P02,P14073,P003,P011,1
2021,P01,P02,P15072,P003,P011,1
2021,P01,P02,P15087,P003,P011,2
2021,P01,P02,P16079,P003,P011,1
2021,P01,P02,P16082,P003,P011,1
