C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306
2024,140190440,NA,NA,NA,NA,NA,NA
2024,140190441,NA,NA,NA,NA,NA,NA
2024,140190442,NA,NA,NA,NA,NA,NA
2024,140190443,NA,NA,NA,NA,NA,NA
2024,140190444,NA,NA,NA,NA,NA,NA
2024,140250001,NA,NA,NA,NA,NA,NA
2024,140250003,NA,NA,NA,NA,NA,NA
2024,140250005,NA,NA,NA,NA,NA,NA
2024,140250006,NA,NA,NA,NA,NA,NA
2024,140250007,NA,NA,NA,NA,NA,NA
2024,140250008,NA,NA,NA,NA,NA,NA
2024,140250012,NA,NA,NA,NA,NA,NA
2024,140250013,NA,NA,NA,NA,NA,NA
2024,140250014,NA,NA,NA,NA,NA,NA
2024,140250016,NA,NA,NA,NA,NA,NA
2024,140250018,NA,NA,NA,NA,NA,NA
2024,140250019,NA,NA,NA,NA,NA,NA
2024,140250020,NA,NA,NA,NA,NA,NA
2024,140250021,NA,NA,NA,NA,NA,NA
2024,140250023,NA,NA,NA,NA,NA,NA
2024,140250026,NA,NA,NA,NA,NA,NA
2024,140250028,NA,NA,NA,NA,NA,NA
2024,140250029,NA,NA,NA,NA,NA,NA
2024,140250031,NA,NA,NA,NA,NA,NA
2024,140250032,NA,NA,NA,NA,NA,NA
2024,140250035,NA,NA,NA,NA,NA,NA
2024,140250037,NA,NA,NA,NA,NA,NA
2024,140250039,NA,NA,NA,NA,NA,NA
2024,140250041,NA,NA,NA,NA,NA,NA
2024,140250042,NA,NA,NA,NA,NA,NA
2024,140250043,NA,NA,NA,NA,NA,NA
2024,140250045,NA,NA,NA,NA,NA,NA
2024,140250047,NA,NA,NA,NA,NA,NA
2024,140250049,NA,NA,NA,NA,NA,NA
2024,140250050,NA,NA,NA,NA,NA,NA
2024,140250051,NA,NA,NA,NA,NA,NA
2024,140250053,NA,NA,NA,NA,NA,NA
2024,140250054,NA,NA,NA,NA,NA,NA
2024,140250058,NA,NA,NA,NA,NA,NA
2024,140250059,NA,NA,NA,NA,NA,NA
2024,140250060,NA,NA,NA,NA,NA,NA
2024,140250061,NA,NA,NA,NA,NA,NA
2024,140250062,NA,NA,NA,NA,NA,NA
2024,140250063,NA,NA,NA,NA,NA,NA
2024,140250064,NA,NA,NA,NA,NA,NA
2024,140250065,NA,NA,NA,NA,NA,NA
2024,140250066,NA,NA,NA,NA,NA,NA
2024,140250067,NA,NA,NA,NA,NA,NA
2024,140250068,NA,NA,NA,NA,NA,NA
2024,140250070,NA,NA,NA,NA,NA,NA
2024,140250071,NA,NA,NA,NA,NA,NA
2024,140250073,NA,NA,NA,NA,NA,NA
2024,140250074,NA,NA,NA,NA,NA,NA
2024,140250075,NA,NA,NA,NA,NA,NA
2024,140250076,NA,NA,NA,NA,NA,NA
2024,140250077,NA,NA,NA,NA,NA,NA
2024,140250078,NA,NA,NA,NA,NA,NA
2024,140250079,NA,NA,NA,NA,NA,NA
2024,140250080,NA,NA,NA,NA,NA,NA
2024,140250081,NA,NA,NA,NA,NA,NA
2024,140250085,NA,NA,NA,NA,NA,NA
2024,140250087,NA,NA,NA,NA,NA,NA
2024,140250089,NA,NA,NA,NA,NA,NA
2024,140250090,NA,NA,NA,NA,NA,NA
2024,140250094,NA,NA,NA,NA,NA,NA
2024,140250096,NA,NA,NA,NA,NA,NA
2024,140250098,NA,NA,NA,NA,NA,NA
2024,140250099,NA,NA,NA,NA,NA,NA
2024,140250100,NA,NA,NA,NA,NA,NA
2024,140250102,NA,NA,NA,NA,NA,NA
2024,140250103,NA,NA,NA,NA,NA,NA
2024,140250106,NA,NA,NA,NA,NA,NA
2024,140250107,NA,NA,NA,NA,NA,NA
2024,140250112,NA,NA,NA,NA,NA,NA
2024,140250116,NA,NA,NA,NA,NA,NA
2024,140250118,NA,NA,NA,NA,NA,NA
2024,140250119,NA,NA,NA,NA,NA,NA
2024,140250120,NA,NA,NA,NA,NA,NA
2024,140250122,NA,NA,NA,NA,NA,NA
2024,140250123,NA,NA,NA,NA,NA,NA
2024,140250128,NA,NA,NA,NA,NA,NA
2024,140250129,NA,NA,NA,NA,NA,NA
2024,140250130,NA,NA,NA,NA,NA,NA
2024,140250133,NA,NA,NA,NA,NA,NA
2024,140250134,NA,NA,NA,NA,NA,NA
2024,140250135,NA,NA,NA,NA,NA,NA
2024,140250136,NA,NA,NA,NA,NA,NA
2024,140250139,NA,NA,NA,NA,NA,NA
2024,140250140,NA,NA,NA,NA,NA,NA
2024,140250141,NA,NA,NA,NA,NA,NA
2024,140250142,NA,NA,NA,NA,NA,NA
2024,140250143,NA,NA,NA,NA,NA,NA
2024,140250144,NA,NA,NA,NA,NA,NA
2024,140250145,NA,NA,NA,NA,NA,NA
2024,140250146,NA,NA,NA,NA,NA,NA
2024,140250147,NA,NA,NA,NA,NA,NA
2024,140250148,NA,NA,NA,NA,NA,NA
2024,140250149,NA,NA,NA,NA,NA,NA
2024,140250150,NA,NA,NA,NA,NA,NA
2024,140250151,NA,NA,NA,NA,NA,NA
2024,140250152,NA,NA,NA,NA,NA,NA
2024,140250153,NA,NA,NA,NA,NA,NA
2024,140250154,NA,NA,NA,NA,NA,NA
2024,140250155,NA,NA,NA,NA,NA,NA
2024,140250156,NA,NA,NA,NA,NA,NA
2024,140250157,NA,NA,NA,NA,NA,NA
2024,140250158,NA,NA,NA,NA,NA,NA
2024,140250160,NA,NA,NA,NA,NA,NA
2024,140250161,NA,NA,NA,NA,NA,NA
2024,140250162,NA,NA,NA,NA,NA,NA
2024,140250163,NA,NA,NA,NA,NA,NA
2024,140250164,NA,NA,NA,NA,NA,NA
2024,140250165,NA,NA,NA,NA,NA,NA
2024,140250166,NA,NA,NA,NA,NA,NA
2024,140250167,NA,NA,NA,NA,NA,NA
2024,140250168,NA,NA,NA,NA,NA,NA
2024,140250169,NA,NA,NA,NA,NA,NA
2024,140250170,NA,NA,NA,NA,NA,NA
2024,140250171,NA,NA,NA,NA,NA,NA
2024,140250172,NA,NA,NA,NA,NA,NA
2024,140250173,NA,NA,NA,NA,NA,NA
2024,140250174,NA,NA,NA,NA,NA,NA
2024,140250175,NA,NA,NA,NA,NA,NA
2024,140250176,NA,NA,NA,NA,NA,NA
2024,140250177,NA,NA,NA,NA,NA,NA
2024,140250178,NA,NA,NA,NA,NA,NA
2024,140250179,NA,NA,NA,NA,NA,NA
2024,140250180,NA,NA,NA,NA,NA,NA
2024,140250181,NA,NA,NA,NA,NA,NA
2024,140250182,NA,NA,NA,NA,NA,NA
2024,140250183,NA,NA,NA,NA,NA,NA
2024,140250184,NA,NA,NA,NA,NA,NA
2024,140250185,NA,NA,NA,NA,NA,NA
2024,140250186,NA,NA,NA,NA,NA,NA
2024,140250187,NA,NA,NA,NA,NA,NA
2024,140250188,NA,NA,NA,NA,NA,NA
2024,140250189,NA,NA,NA,NA,NA,NA
2024,140250190,NA,NA,NA,NA,NA,NA
2024,140250191,NA,NA,NA,NA,NA,NA
2024,140250192,NA,NA,NA,NA,NA,NA
2024,140250193,NA,NA,NA,NA,NA,NA
2024,140250194,NA,NA,NA,NA,NA,NA
2024,140250195,NA,NA,NA,NA,NA,NA
2024,140250196,NA,NA,NA,NA,NA,NA
2024,140250197,NA,NA,NA,NA,NA,NA
2024,140250198,NA,NA,NA,NA,NA,NA
2024,140250199,NA,NA,NA,NA,NA,NA
2024,140250200,NA,NA,NA,NA,NA,NA
2024,140250201,NA,NA,NA,NA,NA,NA
2024,140250202,NA,NA,NA,NA,NA,NA
2024,140250203,NA,NA,NA,NA,NA,NA
2024,140250204,NA,NA,NA,NA,NA,NA
2024,140250205,NA,NA,NA,NA,NA,NA
2024,140250206,NA,NA,NA,NA,NA,NA
2024,140250207,NA,NA,NA,NA,NA,NA
2024,140250208,NA,NA,NA,NA,NA,NA
2024,140250209,NA,NA,NA,NA,NA,NA
2024,140250210,NA,NA,NA,NA,NA,NA
2024,140250211,NA,NA,NA,NA,NA,NA
2024,140410001,NA,NA,NA,NA,NA,NA
2024,140410002,NA,NA,NA,NA,NA,NA
2024,140410003,NA,NA,NA,NA,NA,NA
2024,140410004,NA,NA,NA,NA,NA,NA
2024,140410005,NA,NA,NA,NA,NA,NA
2024,140410006,NA,NA,NA,NA,NA,NA
2024,140410007,NA,NA,NA,NA,NA,NA
2024,140410009,NA,NA,NA,NA,NA,NA
2024,140410010,NA,NA,NA,NA,NA,NA
2024,140410012,NA,NA,NA,NA,NA,NA
2024,140410013,NA,NA,NA,NA,NA,NA
2024,140410014,NA,NA,NA,NA,NA,NA
2024,140410015,NA,NA,NA,NA,NA,NA
2024,140410016,NA,NA,NA,NA,NA,NA
2024,140410017,NA,NA,NA,NA,NA,NA
2024,140410018,NA,NA,NA,NA,NA,NA
2024,140410019,NA,NA,NA,NA,NA,NA
2024,140410020,NA,NA,NA,NA,NA,NA
2024,140410021,NA,NA,NA,NA,NA,NA
2024,140410022,NA,NA,NA,NA,NA,NA
2024,140410023,NA,NA,NA,NA,NA,NA
2024,140410024,NA,NA,NA,NA,NA,NA
2024,140410025,NA,NA,NA,NA,NA,NA
2024,140410026,NA,NA,NA,NA,NA,NA
2024,140410027,NA,NA,NA,NA,NA,NA
2024,140410029,NA,NA,NA,NA,NA,NA
2024,140410030,NA,NA,NA,NA,NA,NA
2024,140410035,NA,NA,NA,NA,NA,NA
2024,140410042,NA,NA,NA,NA,NA,NA
2024,140410043,NA,NA,NA,NA,NA,NA
2024,140410044,NA,NA,NA,NA,NA,NA
2024,140410045,NA,NA,NA,NA,NA,NA
2024,140410046,NA,NA,NA,NA,NA,NA
2024,140410047,NA,NA,NA,NA,NA,NA
2024,140410048,NA,NA,NA,NA,NA,NA
2024,140410049,NA,NA,NA,NA,NA,NA
2024,140410050,NA,NA,NA,NA,NA,NA
2024,140410051,NA,NA,NA,NA,NA,NA
2024,140410052,NA,NA,NA,NA,NA,NA
2024,140410053,NA,NA,NA,NA,NA,NA
2024,140410054,NA,NA,NA,NA,NA,NA
2024,140410055,NA,NA,NA,NA,NA,NA
2024,140410056,NA,NA,NA,NA,NA,NA
2024,140410057,NA,NA,NA,NA,NA,NA
2024,140410058,NA,NA,NA,NA,NA,NA
2024,140410059,NA,NA,NA,NA,NA,NA
2024,140410060,NA,NA,NA,NA,NA,NA
2024,140410061,NA,NA,NA,NA,NA,NA
2024,140410062,NA,NA,NA,NA,NA,NA
2024,140410063,NA,NA,NA,NA,NA,NA
2024,140410064,NA,NA,NA,NA,NA,NA
2024,140410065,NA,NA,NA,NA,NA,NA
2024,140410066,NA,NA,NA,NA,NA,NA
2024,140410067,NA,NA,NA,NA,NA,NA
2024,140410068,NA,NA,NA,NA,NA,NA
2024,140410069,NA,NA,NA,NA,NA,NA
2024,140410070,NA,NA,NA,NA,NA,NA
2024,140410071,NA,NA,NA,NA,NA,NA
2024,140410072,NA,NA,NA,NA,NA,NA
2024,140410073,NA,NA,NA,NA,NA,NA
2024,140410074,NA,NA,NA,NA,NA,NA
2024,140410075,NA,NA,NA,NA,NA,NA
2024,140410076,NA,NA,NA,NA,NA,NA
2024,140410077,NA,NA,NA,NA,NA,NA
2024,140410078,NA,NA,NA,NA,NA,NA
2024,140410079,NA,NA,NA,NA,NA,NA
2024,140410080,NA,NA,NA,NA,NA,NA
2024,140410081,NA,NA,NA,NA,NA,NA
2024,140410082,NA,NA,NA,NA,NA,NA
2024,140410083,NA,NA,NA,NA,NA,NA
2024,140410084,NA,NA,NA,NA,NA,NA
2024,140410085,NA,NA,NA,NA,NA,NA
2024,140410086,NA,NA,NA,NA,NA,NA
2024,140410087,NA,NA,NA,NA,NA,NA
2024,140410088,NA,NA,NA,NA,NA,NA
2024,140410089,NA,NA,NA,NA,NA,NA
2024,140410090,NA,NA,NA,NA,NA,NA
2024,140410091,NA,NA,NA,NA,NA,NA
2024,140410092,NA,NA,NA,NA,NA,NA
2024,140410093,NA,NA,NA,NA,NA,NA
2024,140410094,NA,NA,NA,NA,NA,NA
2024,140410095,NA,NA,NA,NA,NA,NA
2024,140410096,NA,NA,NA,NA,NA,NA
2024,140410097,NA,NA,NA,NA,NA,NA
2024,140410098,NA,NA,NA,NA,NA,NA
2024,140410099,NA,NA,NA,NA,NA,NA
2024,140410100,NA,NA,NA,NA,NA,NA
2024,140410101,NA,NA,NA,NA,NA,NA
2024,140410102,NA,NA,NA,NA,NA,NA
2024,140410103,NA,NA,NA,NA,NA,NA
2024,140410104,NA,NA,NA,NA,NA,NA
2024,140410105,NA,NA,NA,NA,NA,NA
2024,140410106,NA,NA,NA,NA,NA,NA
