C601,C003,R027-0201,R027-0202,R027-0203,R027-0204,R027-0205
2024,140250003,NO,NO,NO,NO,NO
2024,140250005,NO,NO,NO,NO,NO
2024,140250006,NO,NO,NO,NO,NO
2024,140250007,NO,NO,NO,NO,NO
2024,140250008,NO,NO,NO,NO,NO
2024,140250012,NO,NO,NO,NO,NO
2024,140250013,NO,NO,NO,NO,NO
2024,140250014,NO,NO,NO,NO,NO
2024,140250016,NO,NO,NO,NO,NO
2024,140250018,NO,NO,NO,NO,NO
2024,140250019,NO,NO,NO,NO,NO
2024,140250020,NO,NO,NO,NO,NO
2024,140250021,NO,NO,NO,NO,NO
2024,140250023,NO,NO,NO,NO,NO
2024,140250026,NO,NO,NO,NO,NO
2024,140250028,NO,NO,NO,NO,NO
2024,140250029,NO,NO,NO,NO,NO
2024,140250031,NO,NO,NO,NO,NO
2024,140250032,NO,NO,NO,NO,NO
2024,140250035,NO,NO,NO,NO,NO
2024,140250037,NO,NO,NO,NO,NO
2024,140250039,NO,NO,NO,NO,NO
2024,140250041,NO,NO,NO,NO,NO
2024,140250042,NO,NO,NO,NO,NO
2024,140250043,NO,NO,NO,NO,NO
2024,140250045,NO,NO,NO,NO,NO
2024,140250047,NO,NO,NO,NO,NO
2024,140250049,NO,NO,NO,NO,NO
2024,140250050,NO,NO,NO,NO,NO
2024,140250051,NO,NO,NO,NO,NO
2024,140250053,NO,NO,NO,NO,NO
2024,140250054,NO,NO,NO,NO,NO
2024,140250058,NO,NO,NO,NO,NO
2024,140250059,NO,NO,NO,NO,NO
2024,140250060,NO,NO,NO,NO,NO
2024,140250061,NO,NO,NO,NO,NO
2024,140250062,NO,NO,NO,NO,NO
2024,140250063,NO,NO,NO,NO,NO
2024,140250064,NO,NO,NO,NO,NO
2024,140250065,NO,NO,NO,NO,NO
2024,140250066,NO,NO,NO,NO,NO
2024,140250067,NO,NO,NO,NO,NO
2024,140250068,NO,NO,NO,NO,NO
2024,140250070,NO,NO,NO,NO,NO
2024,140250071,NO,NO,NO,NO,NO
2024,140250073,NO,NO,NO,NO,NO
2024,140250074,NO,NO,NO,NO,NO
2024,140250075,NO,NO,NO,NO,NO
2024,140250076,NO,NO,NO,NO,NO
2024,140250077,NO,NO,NO,NO,NO
2024,140250078,NO,NO,NO,NO,NO
2024,140250079,NO,NO,NO,NO,NO
2024,140250080,NO,NO,NO,NO,NO
2024,140250081,NO,NO,NO,NO,NO
2024,140250085,NO,NO,NO,NO,NO
2024,140250087,NO,NO,NO,NO,NO
2024,140250089,NO,NO,NO,NO,NO
2024,140250090,NO,NO,NO,NO,NO
2024,140250094,NO,NO,NO,NO,NO
2024,140250096,NO,NO,NO,NO,NO
2024,140250098,NO,NO,NO,NO,NO
2024,140250099,NO,NO,NO,NO,NO
2024,140250100,NO,NO,NO,NO,NO
2024,140250102,NO,NO,NO,NO,NO
2024,140250103,NO,NO,NO,NO,NO
2024,140250106,NO,NO,NO,NO,NO
2024,140250107,NO,NO,NO,NO,NO
2024,140250112,NO,NO,NO,NO,NO
2024,140250116,NO,NO,NO,NO,NO
2024,140250118,NO,NO,NO,NO,NO
2024,140250119,NO,NO,NO,NO,NO
2024,140250120,NO,NO,NO,NO,NO
2024,140250122,NO,NO,NO,NO,NO
2024,140250123,NO,NO,NO,NO,NO
2024,140250128,NO,NO,NO,NO,NO
2024,140250129,NO,NO,NO,NO,NO
2024,140250130,NO,NO,NO,NO,NO
2024,140250133,NO,NO,NO,NO,NO
2024,140250134,NO,NO,NO,NO,NO
2024,140250135,NO,NO,NO,NO,NO
2024,140250136,NO,NO,NO,NO,NO
2024,140250139,NO,NO,NO,NO,NO
2024,140250140,NO,NO,NO,NO,NO
2024,140250141,NO,NO,NO,NO,NO
2024,140250142,NO,NO,NO,NO,NO
2024,140250143,NO,NO,NO,NO,NO
2024,140250144,NO,NO,NO,NO,NO
2024,140250145,NO,NO,NO,NO,NO
2024,140250146,NO,NO,NO,NO,NO
2024,140250147,NO,NO,NO,NO,NO
2024,140250148,NO,NO,NO,NO,NO
2024,140250149,NO,NO,NO,NO,NO
2024,140250150,NO,NO,NO,NO,NO
2024,140250151,NO,NO,NO,NO,NO
2024,140250152,NO,NO,NO,NO,NO
2024,140250153,NO,NO,NO,NO,NO
2024,140250154,NO,NO,NO,NO,NO
2024,140250155,NO,NO,NO,NO,NO
2024,140250156,NO,NO,NO,NO,NO
2024,140250157,NO,NO,NO,NO,NO
2024,140250158,NO,NO,NO,NO,NO
2024,140250160,NO,NO,NO,NO,NO
2024,140250161,NO,NO,NO,NO,NO
2024,140250162,NO,NO,NO,NO,NO
2024,140250163,NO,NO,NO,NO,NO
2024,140250164,NO,NO,NO,NO,NO
2024,140250165,NO,NO,NO,NO,NO
2024,140250166,NO,NO,NO,NO,NO
2024,140250167,NO,NO,NO,NO,NO
2024,140250168,NO,NO,NO,NO,NO
2024,140250169,NO,NO,NO,NO,NO
2024,140250170,NO,NO,NO,NO,NO
2024,140250171,NO,NO,NO,NO,NO
2024,140250172,NO,NO,NO,NO,NO
2024,140250173,NO,NO,NO,NO,NO
2024,140250174,NO,NO,NO,NO,NO
2024,140250175,NO,NO,NO,NO,NO
2024,140250176,NO,NO,NO,NO,NO
2024,140250177,NO,NO,NO,NO,NO
2024,140250178,NO,NO,NO,NO,NO
2024,140250179,NO,NO,NO,NO,NO
2024,140250180,NO,NO,NO,NO,NO
2024,140250181,NO,NO,NO,NO,NO
2024,140250182,NO,NO,NO,NO,NO
2024,140250183,NO,NO,NO,NO,NO
2024,140250184,NO,NO,NO,NO,NO
2024,140250185,NO,NO,NO,NO,NO
2024,140250186,NO,NO,NO,NO,NO
2024,140250187,NO,NO,NO,NO,NO
2024,140250188,NO,NO,NO,NO,NO
2024,140250189,NO,NO,NO,NO,NO
2024,140250190,NO,NO,NO,NO,NO
2024,140250191,NO,NO,NO,NO,NO
2024,140250192,NO,NO,NO,NO,NO
2024,140250193,NO,NO,NO,NO,NO
2024,140250194,NO,NO,NO,NO,NO
2024,140250195,NO,NO,NO,NO,NO
2024,140250196,NO,NO,NO,NO,NO
2024,140250197,NO,NO,NO,NO,NO
2024,140250198,NO,NO,NO,NO,NO
2024,140250199,NO,NO,NO,NO,NO
2024,140250200,NO,NO,NO,NO,NO
2024,140250201,NO,NO,NO,NO,NO
2024,140250202,NO,NO,NO,NO,NO
2024,140250203,NO,NO,NO,NO,NO
2024,140250204,NO,NO,NO,NO,NO
2024,140250205,NO,NO,NO,NO,NO
2024,140250206,NO,NO,NO,NO,NO
2024,140250207,NO,NO,NO,NO,NO
2024,140250208,NO,NO,NO,NO,NO
2024,140250209,NO,NO,NO,NO,NO
2024,140250210,NO,NO,NO,NO,NO
2024,140250211,NO,NO,NO,NO,NO
2024,140410001,NO,NO,NO,NO,NO
2024,140410002,NO,NO,NO,NO,NO
2024,140410003,NO,NO,NO,NO,NO
2024,140410004,NO,NO,NO,NO,NO
2024,140410005,NO,NO,NO,NO,NO
2024,140410006,NO,NO,NO,NO,NO
2024,140410007,NO,NO,NO,NO,NO
2024,140410009,NO,NO,NO,NO,NO
2024,140410010,NO,NO,NO,NO,NO
2024,140410012,NO,NO,NO,NO,NO
2024,140410013,NO,NO,NO,NO,NO
2024,140410014,NO,NO,NO,NO,NO
2024,140410015,NO,NO,NO,NO,NO
2024,140410016,NO,NO,NO,NO,NO
2024,140410017,NO,NO,NO,NO,NO
2024,140410018,NO,NO,NO,NO,NO
2024,140410019,NO,NO,NO,NO,NO
2024,140410020,NO,NO,NO,NO,NO
2024,140410021,NO,NO,NO,NO,NO
2024,140410022,NO,NO,NO,NO,NO
2024,140410023,NO,NO,NO,NO,NO
2024,140410024,NO,NO,NO,NO,NO
2024,140410025,NO,NO,NO,NO,NO
2024,140410026,NO,NO,NO,NO,NO
2024,140410027,NO,NO,NO,NO,NO
2024,140410029,NO,NO,NO,NO,NO
2024,140410030,NO,NO,NO,NO,NO
2024,140410035,NO,NO,NO,NO,NO
2024,140410042,NO,NO,NO,NO,NO
2024,140410043,NO,NO,NO,NO,NO
2024,140410044,NO,NO,NO,NO,NO
2024,140410045,NO,NO,NO,NO,NO
2024,140410046,NO,NO,NO,NO,NO
2024,140410047,NO,NO,NO,NO,NO
2024,140410048,NO,NO,NO,NO,NO
2024,140410049,NO,NO,NO,NO,NO
2024,140410050,NO,NO,NO,NO,NO
2024,140410051,NO,NO,NO,NO,NO
2024,140410052,NO,NO,NO,NO,NO
2024,140410053,NO,NO,NO,NO,NO
2024,140410054,NO,NO,NO,NO,NO
2024,140410055,NO,NO,NO,NO,NO
2024,140410056,NO,NO,NO,NO,NO
2024,140410057,NO,NO,NO,NO,NO
2024,140410058,NO,NO,NO,NO,NO
2024,140410059,NO,NO,NO,NO,NO
2024,140410060,NO,NO,NO,NO,NO
2024,140410061,NO,NO,NO,NO,NO
2024,140410062,NO,NO,NO,NO,NO
2024,140410063,NO,NO,NO,NO,NO
2024,140410064,NO,NO,NO,NO,NO
2024,140410065,NO,NO,NO,NO,NO
2024,140410066,NO,NO,NO,NO,NO
2024,140410067,NO,NO,NO,NO,NO
2024,140410068,NO,NO,NO,NO,NO
2024,140410069,NO,NO,NO,NO,NO
2024,140410070,NO,NO,NO,NO,NO
2024,140410071,NO,NO,NO,NO,NO
2024,140410072,NO,NO,NO,NO,NO
2024,140410073,NO,NO,NO,NO,NO
2024,140410074,NO,NO,NO,NO,NO
2024,140410075,NO,NO,NO,NO,NO
2024,140410076,NO,NO,NO,NO,NO
2024,140410077,NO,NO,NO,NO,NO
2024,140410078,NO,NO,NO,NO,NO
2024,140410079,NO,NO,NO,NO,NO
2024,140410080,NO,NO,NO,NO,NO
2024,140410081,NO,NO,NO,NO,NO
2024,140410082,NO,NO,NO,NO,NO
2024,140410083,NO,NO,NO,NO,NO
2024,140410084,NO,NO,NO,NO,NO
2024,140410085,NO,NO,NO,NO,NO
2024,140410086,NO,NO,NO,NO,NO
2024,140410087,NO,NO,NO,NO,NO
2024,140410088,NO,NO,NO,NO,NO
2024,140410089,NO,NO,NO,NO,NO
2024,140410090,NO,NO,NO,NO,NO
2024,140410091,NO,NO,NO,NO,NO
2024,140410092,NO,NO,NO,NO,NO
