C601,C602,C003,C006,C101,C102,C103,R001 0501
2024,P10,NA,288,P206,P01,P01,26
2024,P10,NA,696,P206,P01,P01,1
2024,P10,NA,629,P206,P01,P01,11
2024,P10,NA,483,P206,P01,P01,1
2024,P10,NA,486,P206,P01,P01,2
2024,P10,NA,724,P206,P01,P01,1
2024,P10,NA,443,P206,P01,P01,1166
2024,P10,NA,562,P206,P01,P01,355
2024,P10,NA,878,P206,P01,P01,45
2024,P10,NA,228,P206,P01,P01,1217
2024,P10,NA,487,P206,P01,P01,21
2024,P10,NA,272,P206,P01,P01,531
2024,P10,NA,595,P206,P01,P01,21
2024,P10,NA,384,P206,P01,P01,36
2024,P10,NA,958,P206,P01,P01,14
2024,P10,NA,823,P206,P01,P01,1
2024,P10,NA,831,P206,P01,P01,68
2024,P10,NA,735,P206,P01,P01,519
2024,P10,NA,775,P206,P01,P01,228
2024,P10,NA,631,P206,P01,P01,14
2024,P10,NA,625,P206,P01,P01,25
2024,P10,NA,826,P206,P01,P01,9
2024,P10,NA,665,P206,P01,P01,14
2024,P10,NA,287,P206,P01,P01,72
2024,P10,NA,458,P206,P01,P01,27
2024,P10,NA,953,P206,P01,P01,42
2024,P10,NA,382,P206,P01,P01,2
2024,P10,NA,966,P206,P01,P01,19
2024,P10,NA,736,P206,P01,P01,3
2024,P10,NA,224,P206,P01,P01,11
2024,P10,NA,998,P206,P01,P01,256
2024,P10,NA,983,P206,P01,P01,161
2024,P10,NA,294,P206,P01,P01,147
2024,P10,NA,324,P206,P01,P01,9
2024,P10,NA,982,P206,P01,P01,21
2024,P10,NA,676,P206,P01,P01,30
2024,P10,NA,753,P206,P01,P01,42
2024,P10,NA,824,P206,P01,P01,9
2024,P10,NA,469,P206,P01,P01,30
2024,P10,NA,465,P206,P01,P01,71
2024,P10,NA,622,P206,P01,P01,41
2024,P10,NA,776,P206,P01,P01,51
2024,P10,NA,377,P206,P01,P01,1
2024,P10,NA,498,P206,P01,P01,13
2024,P10,NA,425,P206,P01,P01,7
2024,P10,NA,954,P206,P01,P01,3
2024,P10,NA,862,P206,P01,P01,5
2024,P10,NA,297,P206,P01,P01,24
2024,P10,NA,233,P206,P01,P01,2
2024,P10,NA,766,P206,P01,P01,2
2024,P10,NA,913,P206,P01,P01,4
2024,P10,NA,841,P206,P01,P01,1
2024,P10,NA,418,P206,P01,P01,52
2024,P10,NA,613,P206,P01,P01,2
2024,P10,NA,281,P206,P01,P01,21
2024,P10,NA,447,P206,P01,P01,23
2024,P10,NA,999,P206,P01,P01,1214
2024,P10,NA,771,P206,P01,P01,720
2024,P10,NA,464,P206,P01,P01,166
2024,P10,NA,495,P206,P01,P01,43
2024,P10,NA,441,P206,P01,P01,21
2024,P10,NA,653,P206,P01,P01,26
2024,P10,NA,932,P206,P01,P01,28
2024,P10,NA,674,P206,P01,P01,1
2024,P10,NA,421,P206,P01,P01,5
2024,P10,NA,756,P206,P01,P01,2
2024,P10,NA,749,P206,P01,P01,17
2024,P10,NA,997,P206,P01,P01,37
2024,P10,NA,462,P206,P01,P01,272
2024,P10,NA,223,P206,P01,P01,48
2024,P10,NA,278,P206,P01,P01,3
2024,P10,NA,936,P206,P01,P01,36
2024,P10,NA,321,P206,P01,P01,6
2024,P10,NA,243,P206,P01,P01,55
2024,P10,NA,695,P206,P01,P01,23
2024,P10,NA,636,P206,P01,P01,3
2024,P10,NA,846,P206,P01,P01,1
2024,P10,NA,311,P206,P01,P01,276
2024,P10,NA,922,P206,P01,P01,142
2024,P10,NA,981,P206,P01,P01,230
2024,P10,NA,392,P206,P01,P01,125
2024,P10,NA,923,P206,P01,P01,35
2024,P10,NA,963,P206,P01,P01,38
2024,P10,NA,231,P206,P01,P01,126
2024,P10,NA,317,P206,P01,P01,15
2024,P10,NA,721,P206,P01,P01,23
2024,P10,NA,697,P206,P01,P01,1
2024,P10,NA,356,P206,P01,P01,6
2024,P10,NA,835,P206,P01,P01,1
2024,P11,NA,612,P206,P01,P01,127
2024,P11,NA,964,P206,P01,P01,26
2024,P11,NA,418,P206,P01,P01,67
2024,P11,NA,325,P206,P01,P01,13
2024,P11,NA,648,P206,P01,P01,13
2024,P11,NA,791,P206,P01,P01,107
2024,P11,NA,358,P206,P01,P01,1
2024,P11,NA,273,P206,P01,P01,12
2024,P11,NA,868,P206,P01,P01,280
2024,P11,NA,479,P206,P01,P01,20
2024,P11,NA,474,P206,P01,P01,69
2024,P11,NA,395,P206,P01,P01,24
2024,P11,NA,712,P206,P01,P01,120
2024,P11,NA,566,P206,P01,P01,4
2024,P11,NA,755,P206,P01,P01,26
2024,P11,NA,464,P206,P01,P01,207
2024,P11,NA,632,P206,P01,P01,8
2024,P11,NA,999,P206,P01,P01,1604
2024,P11,NA,449,P206,P01,P01,1445
2024,P11,NA,495,P206,P01,P01,55
2024,P11,NA,249,P206,P01,P01,36
2024,P11,NA,314,P206,P01,P01,99
2024,P11,NA,475,P206,P01,P01,17
2024,P11,NA,966,P206,P01,P01,25
2024,P11,NA,765,P206,P01,P01,17
