C601,C602,C003,C006,C101,C102,C103,R001-0501
2024,P10,P071040001,xxx,P108,P01,P01,2
2024,P10,P071060001,xxx,P108,P01,P01,48
2024,P10,P071080001,xxx,P108,P01,P01,1
2024,P10,P071110001,xxx,P108,P01,P01,1
2024,P10,P080010001,xxx,P108,P01,P01,249
2024,P10,P080020001,xxx,P108,P01,P01,74
2024,P10,P080040001,xxx,P108,P01,P01,40
2024,P10,P080060001,xxx,P108,P01,P01,4
2024,P10,P080190001,xxx,P108,P01,P01,920
2024,P10,P080170001,xxx,P108,P01,P01,3
2024,P10,P080210001,xxx,P108,P01,P01,24
2024,P10,P080310001,xxx,P108,P01,P01,33
2024,P10,P080380001,xxx,P108,P01,P01,97
2024,P10,P080370001,xxx,P108,P01,P01,2098
2024,P10,P080450001,xxx,P108,P01,P01,260
2024,P10,P080480001,xxx,P108,P01,P01,1
2024,P10,P080550001,xxx,P108,P01,P01,20
2024,P10,P080240001,xxx,P108,P01,P01,58
2024,P10,P080620001,xxx,P108,P01,P01,4
2024,P10,P050040001,xxx,P108,P01,P01,65
2024,P10,P050050001,xxx,P108,P01,P01,1
2024,P10,P050060001,xxx,P108,P01,P01,1
2024,P10,P050090001,xxx,P108,P01,P01,8
2024,P10,P050170001,xxx,P108,P01,P01,85
2024,P10,P050200001,xxx,P108,P01,P01,2
2024,P10,P050270001,xxx,P108,P01,P01,192
2024,P10,P050300001,xxx,P108,P01,P01,632
2024,P10,P050330001,xxx,P108,P01,P01,17
2024,P10,P050350001,xxx,P108,P01,P01,485
2024,P10,P050360001,xxx,P108,P01,P01,6
2024,P10,P050380001,xxx,P108,P01,P01,1
2024,P10,P060010001,xxx,P108,P01,P01,248
2024,P10,P060020001,xxx,P108,P01,P01,878
2024,P10,P060030001,xxx,P108,P01,P01,237
2024,P10,P060040001,xxx,P108,P01,P01,69
2024,P10,P060050001,xxx,P108,P01,P01,296
2024,P10,P060070001,xxx,P108,P01,P01,1
2024,P10,P060080001,xxx,P108,P01,P01,6
2024,P10,P060090001,xxx,P108,P01,P01,104
2024,P10,P060100001,xxx,P108,P01,P01,950
2024,P10,P100010001,xxx,P108,P01,P01,6
2024,P10,P100040001,xxx,P108,P01,P01,20
2024,P10,P100050001,xxx,P108,P01,P01,314
2024,P10,P100070001,xxx,P108,P01,P01,313
2024,P10,P100120001,xxx,P108,P01,P01,81
2024,P10,P100160001,xxx,P108,P01,P01,2
2024,P10,P100390001,xxx,P108,P01,P01,1
2024,P10,P100320001,xxx,P108,P01,P01,7
2024,P10,P100360001,xxx,P108,P01,P01,10
2024,P10,P110010001,xxx,P108,P01,P01,4
2024,P10,P110020001,xxx,P108,P01,P01,306
2024,P10,P110040001,xxx,P108,P01,P01,31
2024,P10,P110050001,xxx,P108,P01,P01,130
2024,P10,P110070001,xxx,P108,P01,P01,174
2024,P10,P110090001,xxx,P108,P01,P01,362
2024,P10,P110110001,xxx,P108,P01,P01,13
2024,P10,P110120001,xxx,P108,P01,P01,3
2024,P10,P110130001,xxx,P108,P01,P01,21
2024,P10,P110140001,xxx,P108,P01,P01,63
2024,P10,P110150001,xxx,P108,P01,P01,5
2024,P10,P110170001,xxx,P108,P01,P01,35
2024,P10,P110180001,xxx,P108,P01,P01,18
2024,P10,P110190001,xxx,P108,P01,P01,2
2024,P10,P110200001,xxx,P108,P01,P01,770
2024,P10,P110080001,xxx,P108,P01,P01,2
2024,P10,P110250001,xxx,P108,P01,P01,12
2024,P10,P110230001,xxx,P108,P01,P01,49
2024,P10,P110260001,xxx,P108,P01,P01,108
2024,P10,P110270001,xxx,P108,P01,P01,14
2024,P10,P110280001,xxx,P108,P01,P01,109
2024,P10,P110290001,xxx,P108,P01,P01,3
2024,P10,P110310001,xxx,P108,P01,P01,27
2024,P10,P110320001,xxx,P108,P01,P01,207
2024,P10,P110330001,xxx,P108,P01,P01,58
2024,P10,P110030001,xxx,P108,P01,P01,1441
2024,P10,P110350001,xxx,P108,P01,P01,10
2024,P10,P110380001,xxx,P108,P01,P01,3
2024,P10,P110390001,xxx,P108,P01,P01,107
2024,P10,P110400001,xxx,P108,P01,P01,1
2024,P10,P110410001,xxx,P108,P01,P01,2
2024,P10,P110420001,xxx,P108,P01,P01,4
2024,P10,P110440001,xxx,P108,P01,P01,16
2024,P10,P110460001,xxx,P108,P01,P01,1
2024,P10,P120010001,xxx,P108,P01,P01,2429
2024,P10,P120110001,xxx,P108,P01,P01,81
2024,P10,P120290001,xxx,P108,P01,P01,545
2024,P10,P120210001,xxx,P108,P01,P01,446
2024,P10,P120750001,xxx,P108,P01,P01,1
2024,P10,P120340001,xxx,P108,P01,P01,111
2024,P10,P120350001,xxx,P108,P01,P01,2378
2024,P10,P120680001,xxx,P108,P01,P01,81
2024,P10,P120490001,xxx,P108,P01,P01,44
2024,P10,P120530001,xxx,P108,P01,P01,176
2024,P10,P120550001,xxx,P108,P01,P01,497
2024,P10,P120590001,xxx,P108,P01,P01,204
2024,P10,P120600001,xxx,P108,P01,P01,722
2024,P10,P120380001,xxx,P108,P01,P01,1040
2024,P10,P130010001,xxx,P108,P01,P01,5
2024,P10,P130020001,xxx,P108,P01,P01,126
2024,P10,P130070001,xxx,P108,P01,P01,32
2024,P10,P130080001,xxx,P108,P01,P01,219
2024,P10,P130100001,xxx,P108,P01,P01,25
2024,P10,P130130001,xxx,P108,P01,P01,18
2024,P10,P130120001,xxx,P108,P01,P01,10
2024,P10,P130090001,xxx,P108,P01,P01,5
2024,P10,P130210001,xxx,P108,P01,P01,5
2024,P10,P130220001,xxx,P108,P01,P01,3
2024,P10,P130280001,xxx,P108,P01,P01,818
2024,P10,P130290001,xxx,P108,P01,P01,2
2024,P10,P130510001,xxx,P108,P01,P01,38
2024,P10,P130480001,xxx,P108,P01,P01,132
2024,P10,P130500001,xxx,P108,P01,P01,1
2024,P10,P130520001,xxx,P108,P01,P01,12
2024,P10,P130570001,xxx,P108,P01,P01,2
2024,P10,P130610001,xxx,P108,P01,P01,55
2024,P10,P130630001,xxx,P108,P01,P01,324
2024,P10,P130690001,xxx,P108,P01,P01,579
2024,P10,P130700001,xxx,P108,P01,P01,1
2024,P10,P130720001,xxx,P108,P01,P01,9
2024,P10,P130740001,xxx,P108,P01,P01,2
2024,P10,P130750001,xxx,P108,P01,P01,52
2024,P10,P130760001,xxx,P108,P01,P01,130
2024,P10,P130770001,xxx,P108,P01,P01,4
2024,P10,P130660001,xxx,P108,P01,P01,37
2024,P10,P130820001,xxx,P108,P01,P01,7
2024,P10,P130830001,xxx,P108,P01,P01,73
2024,P10,P140010001,xxx,P108,P01,P01,1
2024,P10,P140020001,xxx,P108,P01,P01,61
2024,P10,P140030001,xxx,P108,P01,P01,368
2024,P10,P140050001,xxx,P108,P01,P01,28
2024,P10,P140060001,xxx,P108,P01,P01,356
2024,P10,P140080001,xxx,P108,P01,P01,108
2024,P10,P140130001,xxx,P108,P01,P01,11
2024,P10,P140140001,xxx,P108,P01,P01,15
2024,P10,P140150001,xxx,P108,P01,P01,1
2024,P10,P140160001,xxx,P108,P01,P01,3
2024,P10,P141170001,xxx,P108,P01,P01,6
2024,P10,P140300001,xxx,P108,P01,P01,155
2024,P10,P140240001,xxx,P108,P01,P01,1
2024,P10,P140260001,xxx,P108,P01,P01,1
2024,P10,P140090001,xxx,P108,P01,P01,68
2024,P10,P140700001,xxx,P108,P01,P01,688
2024,P10,P140360001,xxx,P108,P01,P01,160
2024,P10,P140390001,xxx,P108,P01,P01,2223
2024,P10,P140790001,xxx,P108,P01,P01,1
2024,P10,P140400001,xxx,P108,P01,P01,15
2024,P10,P140440001,xxx,P108,P01,P01,154
2024,P10,P140450001,xxx,P108,P01,P01,88
2024,P10,P140460001,xxx,P108,P01,P01,3
2024,P10,P140480001,xxx,P108,P01,P01,3
2024,P10,P140500001,xxx,P108,P01,P01,111
2024,P10,P140510001,xxx,P108,P01,P01,12
2024,P10,P140570001,xxx,P108,P01,P01,4
2024,P10,P140530001,xxx,P108,P01,P01,7
2024,P10,P140550001,xxx,P108,P01,P01,83
2024,P10,P140590001,xxx,P108,P01,P01,154
2024,P10,P140600001,xxx,P108,P01,P01,2
2024,P10,P140620001,xxx,P108,P01,P01,1
2024,P10,P140630001,xxx,P108,P01,P01,52
2024,P10,P140650001,xxx,P108,P01,P01,6
2024,P10,P140660001,xxx,P108,P01,P01,269
2024,P10,P140670001,xxx,P108,P01,P01,989
2024,P10,P140720001,xxx,P108,P01,P01,5
2024,P10,P141130001,xxx,P108,P01,P01,40
2024,P10,P141250001,xxx,P108,P01,P01,1
2024,P10,P140730001,xxx,P108,P01,P01,9
2024,P10,P140780001,xxx,P108,P01,P01,6
2024,P10,P140820001,xxx,P108,P01,P01,7
2024,P10,P140830001,xxx,P108,P01,P01,596
2024,P10,P140860001,xxx,P108,P01,P01,252
2024,P10,P140890001,xxx,P108,P01,P01,2
2024,P10,P140880001,xxx,P108,P01,P01,5
2024,P10,P140910001,xxx,P108,P01,P01,3
2024,P10,P140920001,xxx,P108,P01,P01,8
2024,P10,P140930001,xxx,P108,P01,P01,121
2024,P10,P140940001,xxx,P108,P01,P01,32
2024,P10,P140950001,xxx,P108,P01,P01,12
2024,P10,P140960001,xxx,P108,P01,P01,13
2024,P10,P140970001,xxx,P108,P01,P01,2479
2024,P10,P140980001,xxx,P108,P01,P01,1253
2024,P10,P141010001,xxx,P108,P01,P01,1276
2024,P10,P141030001,xxx,P108,P01,P01,12
2024,P10,P141050001,xxx,P108,P01,P01,2
2024,P10,P141070001,xxx,P108,P01,P01,34
2024,P10,P141080001,xxx,P108,P01,P01,1
2024,P10,P141090001,xxx,P108,P01,P01,2
2024,P10,P141110001,xxx,P108,P01,P01,52
2024,P10,P141120001,xxx,P108,P01,P01,47
2024,P10,P141140001,xxx,P108,P01,P01,28
2024,P10,P141180001,xxx,P108,P01,P01,2
2024,P10,P141190001,xxx,P108,P01,P01,143
2024,P10,P141200001,xxx,P108,P01,P01,2574
2024,P10,P141240001,xxx,P108,P01,P01,144
2024,P10,P140230001,xxx,P108,P01,P01,683
2024,P10,P150020001,xxx,P108,P01,P01,708
2024,P10,P150050001,xxx,P108,P01,P01,733
2024,P10,P150060001,xxx,P108,P01,P01,21
2024,P10,P150070001,xxx,P108,P01,P01,1
2024,P10,P150090001,xxx,P108,P01,P01,339
2024,P10,P150110001,xxx,P108,P01,P01,277
2024,P10,P150120001,xxx,P108,P01,P01,33
2024,P10,P150130001,xxx,P108,P01,P01,250
2024,P10,P150140001,xxx,P108,P01,P01,857
2024,P10,P150150001,xxx,P108,P01,P01,146
2024,P10,P150160001,xxx,P108,P01,P01,145
2024,P10,P150170001,xxx,P108,P01,P01,93
2024,P10,P150180001,xxx,P108,P01,P01,218
2024,P10,P150190001,xxx,P108,P01,P01,52
2024,P10,P150250001,xxx,P108,P01,P01,1349
2024,P10,P150260001,xxx,P108,P01,P01,2
2024,P10,P150270001,xxx,P108,P01,P01,37
2024,P10,P150280001,xxx,P108,P01,P01,189
2024,P10,P150290001,xxx,P108,P01,P01,353
2024,P10,P150300001,xxx,P108,P01,P01,315
2024,P10,P150310001,xxx,P108,P01,P01,1434
2024,P10,P150200001,xxx,P108,P01,P01,218
2024,P10,P150210001,xxx,P108,P01,P01,47
2024,P10,P150220001,xxx,P108,P01,P01,149
2024,P10,P150230001,xxx,P108,P01,P01,9
2024,P10,P150240001,xxx,P108,P01,P01,254
2024,P10,P151210001,xxx,P108,P01,P01,418
2024,P10,P150330001,xxx,P108,P01,P01,1672
2024,P10,P150640001,xxx,P108,P01,P01,248
2024,P10,P150350001,xxx,P108,P01,P01,43
2024,P10,P150360001,xxx,P108,P01,P01,95
2024,P10,P150370001,xxx,P108,P01,P01,676
2024,P10,P150380001,xxx,P108,P01,P01,69
2024,P10,P150390001,xxx,P108,P01,P01,961
2024,P10,P150400001,xxx,P108,P01,P01,866
2024,P10,P150420001,xxx,P108,P01,P01,135
2024,P10,P150440001,xxx,P108,P01,P01,40
2024,P10,P150450001,xxx,P108,P01,P01,1187
2024,P10,P150460001,xxx,P108,P01,P01,8
2024,P10,P150470001,xxx,P108,P01,P01,4
2024,P10,P150480001,xxx,P108,P01,P01,355
2024,P10,P150490001,xxx,P108,P01,P01,156
2024,P10,P150500001,xxx,P108,P01,P01,139
2024,P10,P150700001,xxx,P108,P01,P01,1049
2024,P10,P150510001,xxx,P108,P01,P01,264
2024,P10,P150520001,xxx,P108,P01,P01,119
2024,P10,P150530001,xxx,P108,P01,P01,99
2024,P10,P150540001,xxx,P108,P01,P01,252
2024,P10,P150550001,xxx,P108,P01,P01,57
2024,P10,P150560001,xxx,P108,P01,P01,5
2024,P10,P150570001,xxx,P108,P01,P01,724
2024,P10,P150590001,xxx,P108,P01,P01,223
2024,P10,P150580001,xxx,P108,P01,P01,887
2024,P10,P150600001,xxx,P108,P01,P01,1006
2024,P10,P150610001,xxx,P108,P01,P01,23
2024,P10,P150620001,xxx,P108,P01,P01,136
2024,P10,P150630001,xxx,P108,P01,P01,120
2024,P10,P150650001,xxx,P108,P01,P01,322
2024,P10,P150670001,xxx,P108,P01,P01,42
2024,P10,P150680001,xxx,P108,P01,P01,103
2024,P10,P150690001,xxx,P108,P01,P01,43
2024,P10,P150710001,xxx,P108,P01,P01,2
2024,P10,P150720001,xxx,P108,P01,P01,13
2024,P10,P150730001,xxx,P108,P01,P01,36
2024,P10,P150740001,xxx,P108,P01,P01,151
2024,P10,P151240001,xxx,P108,P01,P01,107
2024,P10,P150750001,xxx,P108,P01,P01,225
2024,P10,P150760001,xxx,P108,P01,P01,77
2024,P10,P150780001,xxx,P108,P01,P01,1
2024,P10,P150790001,xxx,P108,P01,P01,29
2024,P10,P150810001,xxx,P108,P01,P01,1561
2024,P10,P150830001,xxx,P108,P01,P01,125
2024,P10,P150840001,xxx,P108,P01,P01,213
2024,P10,P150850001,xxx,P108,P01,P01,75
2024,P10,P150860001,xxx,P108,P01,P01,2
2024,P10,P150870001,xxx,P108,P01,P01,133
2024,P10,P150880001,xxx,P108,P01,P01,673
2024,P10,P150890001,xxx,P108,P01,P01,21
2024,P10,P150900001,xxx,P108,P01,P01,567
2024,P10,P150910001,xxx,P108,P01,P01,85
2024,P10,P150920001,xxx,P108,P01,P01,487
2024,P10,P150930001,xxx,P108,P01,P01,380
2024,P10,P150940001,xxx,P108,P01,P01,20
2024,P10,P150950001,xxx,P108,P01,P01,235
2024,P10,P150960001,xxx,P108,P01,P01,24
2024,P10,P150970001,xxx,P108,P01,P01,97
2024,P10,P150980001,xxx,P108,P01,P01,15
2024,P10,P150990001,xxx,P108,P01,P01,1046
2024,P10,P151000001,xxx,P108,P01,P01,322
2024,P10,P151010001,xxx,P108,P01,P01,90
2024,P10,P151020001,xxx,P108,P01,P01,528
2024,P10,P151030001,xxx,P108,P01,P01,204
2024,P10,P151040001,xxx,P108,P01,P01,346
2024,P10,P151060001,xxx,P108,P01,P01,1120
2024,P10,P151250001,xxx,P108,P01,P01,51
2024,P10,P151070001,xxx,P108,P01,P01,128
2024,P10,P151080001,xxx,P108,P01,P01,160
2024,P10,P151090001,xxx,P108,P01,P01,344
2024,P10,P151100001,xxx,P108,P01,P01,54
2024,P10,P151220001,xxx,P108,P01,P01,493
2024,P10,P151130001,xxx,P108,P01,P01,858
2024,P10,P151140001,xxx,P108,P01,P01,4
2024,P10,P151120001,xxx,P108,P01,P01,222
2024,P10,P150430001,xxx,P108,P01,P01,58
2024,P10,P151150001,xxx,P108,P01,P01,55
2024,P10,P151170001,xxx,P108,P01,P01,136
2024,P10,P151180001,xxx,P108,P01,P01,250
2024,P10,P151190001,xxx,P108,P01,P01,49
2024,P10,P151200001,xxx,P108,P01,P01,587
2024,P10,P170010001,xxx,P108,P01,P01,13
2024,P10,P170020001,xxx,P108,P01,P01,1512
2024,P10,P170040001,xxx,P108,P01,P01,62
2024,P10,P170060001,xxx,P108,P01,P01,19
2024,P10,P170070001,xxx,P108,P01,P01,456
2024,P10,P170080001,xxx,P108,P01,P01,1724
2024,P10,P170090001,xxx,P108,P01,P01,82
2024,P10,P170110001,xxx,P108,P01,P01,308
2024,P10,P170170001,xxx,P108,P01,P01,70
2024,P10,P170180001,xxx,P108,P01,P01,769
2024,P10,P170200001,xxx,P108,P01,P01,356
2024,P10,P170230001,xxx,P108,P01,P01,63
2024,P10,P170260001,xxx,P108,P01,P01,209
2024,P10,P170270001,xxx,P108,P01,P01,9
2024,P10,P170280001,xxx,P108,P01,P01,731
2024,P10,P170290001,xxx,P108,P01,P01,368
2024,P10,P180010001,xxx,P108,P01,P01,1
2024,P10,P180020001,xxx,P108,P01,P01,200
2024,P10,P180200001,xxx,P108,P01,P01,673
2024,P10,P180040001,xxx,P108,P01,P01,466
2024,P10,P180110001,xxx,P108,P01,P01,1
2024,P10,P180120001,xxx,P108,P01,P01,123
2024,P10,P180140001,xxx,P108,P01,P01,145
2024,P10,P180150001,xxx,P108,P01,P01,347
2024,P10,P180160001,xxx,P108,P01,P01,453
2024,P10,P180170001,xxx,P108,P01,P01,943
2024,P10,P180080001,xxx,P108,P01,P01,159
2024,P10,P190010001,xxx,P108,P01,P01,43
2024,P10,P190020001,xxx,P108,P01,P01,2
2024,P10,P190040001,xxx,P108,P01,P01,50
2024,P10,P190060001,xxx,P108,P01,P01,1038
2024,P10,P190080001,xxx,P108,P01,P01,14
2024,P10,P190090001,xxx,P108,P01,P01,540
2024,P10,P190130001,xxx,P108,P01,P01,8
2024,P10,P190120001,xxx,P108,P01,P01,547
2024,P10,P190170001,xxx,P108,P01,P01,72
2024,P10,P190180001,xxx,P108,P01,P01,946
2024,P10,P190260001,xxx,P108,P01,P01,634
2024,P10,P190280001,xxx,P108,P01,P01,93
2024,P10,P190290001,xxx,P108,P01,P01,3
2024,P10,P190310001,xxx,P108,P01,P01,1318
2024,P10,P190320001,xxx,P108,P01,P01,8
2024,P10,P190330001,xxx,P108,P01,P01,8
2024,P10,P190030001,xxx,P108,P01,P01,14
2024,P10,P190420001,xxx,P108,P01,P01,42
2024,P10,P190340001,xxx,P108,P01,P01,45
2024,P10,P190380001,xxx,P108,P01,P01,98
2024,P10,P190390001,xxx,P108,P01,P01,2154
2024,P10,P190410001,xxx,P108,P01,P01,406
2024,P10,P190440001,xxx,P108,P01,P01,2
2024,P10,P190450001,xxx,P108,P01,P01,695
2024,P10,P190460001,xxx,P108,P01,P01,429
2024,P10,P190190001,xxx,P108,P01,P01,143
2024,P10,P190480001,xxx,P108,P01,P01,396
2024,P10,P190490001,xxx,P108,P01,P01,152
2024,P10,P190500001,xxx,P108,P01,P01,2
2024,P10,P190510001,xxx,P108,P01,P01,6
2024,P10,P200050001,xxx,P108,P01,P01,31
2024,P10,P200250001,xxx,P108,P01,P01,94
2024,P10,P200140001,xxx,P108,P01,P01,91
2024,P10,P200230001,xxx,P108,P01,P01,166
2024,P10,P200300001,xxx,P108,P01,P01,35
2024,P10,P200330001,xxx,P108,P01,P01,8
2024,P10,P200430001,xxx,P108,P01,P01,352
2024,P10,P200690001,xxx,P108,P01,P01,2
2024,P10,P200450001,xxx,P108,P01,P01,22
2024,P10,P200590001,xxx,P108,P01,P01,90
2024,P10,P200630001,xxx,P108,P01,P01,3
2024,P10,P200670001,xxx,P108,P01,P01,680
2024,P10,P200680001,xxx,P108,P01,P01,58
2024,P10,P200770001,xxx,P108,P01,P01,20
2024,P10,P200780001,xxx,P108,P01,P01,3
2024,P10,P200790001,xxx,P108,P01,P01,252
2024,P10,P200840001,xxx,P108,P01,P01,18
2024,P10,P200870001,xxx,P108,P01,P01,50
2024,P10,P200830001,xxx,P108,P01,P01,34
2024,P10,P200910001,xxx,P108,P01,P01,29
2024,P10,P200920001,xxx,P108,P01,P01,8
2024,P10,P201020001,xxx,P108,P01,P01,8
2024,P10,P201030001,xxx,P108,P01,P01,12
2024,P10,P201070001,xxx,P108,P01,P01,59
2024,P10,P201150001,xxx,P108,P01,P01,38
2024,P10,P201180001,xxx,P108,P01,P01,1
2024,P10,P201240001,xxx,P108,P01,P01,47
2024,P10,P201320001,xxx,P108,P01,P01,2
2024,P10,P201350001,xxx,P108,P01,P01,11
2024,P10,P201430001,xxx,P108,P01,P01,70
2024,P10,P201450001,xxx,P108,P01,P01,33
2024,P10,P201410001,xxx,P108,P01,P01,7
2024,P10,P201570001,xxx,P108,P01,P01,43
2024,P10,P205500001,xxx,P108,P01,P01,12
2024,P10,P201780001,xxx,P108,P01,P01,11
2024,P10,P201920001,xxx,P108,P01,P01,3
2024,P10,P201970001,xxx,P108,P01,P01,2
2024,P10,P201930001,xxx,P108,P01,P01,1
2024,P10,P202270001,xxx,P108,P01,P01,59
2024,P10,P202330001,xxx,P108,P01,P01,1
2024,P10,P202840001,xxx,P108,P01,P01,3
2024,P10,P202660001,xxx,P108,P01,P01,15
2024,P10,P202930001,xxx,P108,P01,P01,81
2024,P10,P202950001,xxx,P108,P01,P01,18
2024,P10,P202980001,xxx,P108,P01,P01,26
2024,P10,P203010001,xxx,P108,P01,P01,7
2024,P10,P203080001,xxx,P108,P01,P01,1
2024,P10,P203100001,xxx,P108,P01,P01,113
2024,P10,P203150001,xxx,P108,P01,P01,2
2024,P10,P203270001,xxx,P108,P01,P01,221
2024,P10,P203420001,xxx,P108,P01,P01,36
2024,P10,P203430001,xxx,P108,P01,P01,10
2024,P10,P203500001,xxx,P108,P01,P01,39
2024,P10,P203510001,xxx,P108,P01,P01,1
2024,P10,P203600001,xxx,P108,P01,P01,1
2024,P10,P203680001,xxx,P108,P01,P01,2
2024,P10,P203690001,xxx,P108,P01,P01,1
2024,P10,P203750001,xxx,P108,P01,P01,35
2024,P10,P203850001,xxx,P108,P01,P01,304
2024,P10,P203870001,xxx,P108,P01,P01,3
2024,P10,P203930001,xxx,P108,P01,P01,2
2024,P10,P203900001,xxx,P108,P01,P01,104
2024,P10,P203990001,xxx,P108,P01,P01,157
2024,P10,P204030001,xxx,P108,P01,P01,15
2024,P10,P204110001,xxx,P108,P01,P01,1
2024,P10,P204130001,xxx,P108,P01,P01,215
2024,P10,P204210001,xxx,P108,P01,P01,12
2024,P10,P204410001,xxx,P108,P01,P01,11
2024,P10,P204090001,xxx,P108,P01,P01,38
2024,P10,P204520001,xxx,P108,P01,P01,3
2024,P10,P204750001,xxx,P108,P01,P01,3
2024,P10,P200660001,xxx,P108,P01,P01,58
2024,P10,P204830001,xxx,P108,P01,P01,24
2024,P10,P205050001,xxx,P108,P01,P01,50
2024,P10,P205150001,xxx,P108,P01,P01,204
2024,P10,P205190001,xxx,P108,P01,P01,9
2024,P10,P205250001,xxx,P108,P01,P01,38
2024,P10,P205310001,xxx,P108,P01,P01,5
2024,P10,P205390001,xxx,P108,P01,P01,30
2024,P10,P205460001,xxx,P108,P01,P01,21
2024,P10,P205510001,xxx,P108,P01,P01,73
2024,P10,P205530001,xxx,P108,P01,P01,58
2024,P10,P205550001,xxx,P108,P01,P01,7
2024,P10,P205570001,xxx,P108,P01,P01,78
2024,P10,P205600001,xxx,P108,P01,P01,1
2024,P10,P203380001,xxx,P108,P01,P01,38
2024,P10,P205650001,xxx,P108,P01,P01,213
2024,P10,P205700001,xxx,P108,P01,P01,39
2024,P10,P201740001,xxx,P108,P01,P01,18
2024,P10,P210010001,xxx,P108,P01,P01,27
2024,P10,P210100001,xxx,P108,P01,P01,25
2024,P10,P210130001,xxx,P108,P01,P01,9
2024,P10,P210150001,xxx,P108,P01,P01,234
2024,P10,P210190001,xxx,P108,P01,P01,170
2024,P10,P210220001,xxx,P108,P01,P01,9
2024,P10,P210260001,xxx,P108,P01,P01,82
2024,P10,P210480001,xxx,P108,P01,P01,91
2024,P10,P210530001,xxx,P108,P01,P01,6
2024,P10,P210340001,xxx,P108,P01,P01,96
2024,P10,P210400001,xxx,P108,P01,P01,5
2024,P10,P210410001,xxx,P108,P01,P01,231
2024,P10,P210430001,xxx,P108,P01,P01,26
2024,P10,P210600001,xxx,P108,P01,P01,7
2024,P10,P210570001,xxx,P108,P01,P01,469
2024,P10,P210690001,xxx,P108,P01,P01,1
2024,P10,P210740001,xxx,P108,P01,P01,350
2024,P10,P210860001,xxx,P108,P01,P01,11
2024,P10,P210900001,xxx,P108,P01,P01,142
2024,P10,P211020001,xxx,P108,P01,P01,19
2024,P10,P211040001,xxx,P108,P01,P01,1
2024,P10,P211060001,xxx,P108,P01,P01,58
2024,P10,P211140001,xxx,P108,P01,P01,1903
2024,P10,P211190001,xxx,P108,P01,P01,173
2024,P10,P211220001,xxx,P108,P01,P01,152
2024,P10,P211250001,xxx,P108,P01,P01,9
2024,P10,P211260001,xxx,P108,P01,P01,126
2024,P10,P211320001,xxx,P108,P01,P01,693
2024,P10,P211340001,xxx,P108,P01,P01,32
2024,P10,P211360001,xxx,P108,P01,P01,44
2024,P10,P211380001,xxx,P108,P01,P01,1
2024,P10,P211400001,xxx,P108,P01,P01,287
2024,P10,P211420001,xxx,P108,P01,P01,7
2024,P10,P211430001,xxx,P108,P01,P01,76
2024,P10,P211480001,xxx,P108,P01,P01,56
