C601,C602,R004-0801, R004-0802 ,R004-0803,,,
2024,P09,1239117,35094.82759,180,,,
2024,P09,1243855,12189.65517,68,,,
2024,P10,1172086,0,30,,,
2024,P10,1171142,0,153,,,
2024,P10,1171437,0,24,,,
2024,P10,1171174,0,54,,,
2024,P10,1171775,0,4,,,
2024,P10,768872,0,0,,,
2024,P10,1155167,644793.1034,15789,,,
2024,P10,1167963,508308.6207,910,,,
2024,P10,1170850,244051.7241,235,,,
2024,P10,1170865,625308.6207,616,,,
2024,P10,1170873,714115.5172,649,,,
2024,P10,1170903,1007420.69,840,,,
2024,P10,1171142,216018.9655,0,,,
2024,P10,1171174,109693.9655,0,,,
2024,P10,1171278,90076.72414,68,,,
2024,P10,1171598,11843.96552,16,,,
2024,P10,1171895,35157.75862,8,,,
2024,P10,1171361,275984.4828,80,,,
2024,P10,1171737,48843.10345,7,,,
2024,P10,1172000,62734.48276,11,,,
2024,P10,1171437,89900,0,,,
2024,P10,1171775,32222.41379,0,,,
2024,P10,1172086,113755.1724,0,,,
2024,P10,1233955,35000,0,,,
2024,P10,1233976,15362.06897,0,,,
2024,P10,1233994,135356.8966,2426,,,
2024,P10,1234038,126551.7241,854,,,
2024,P10,1239102,14875,87,,,
2024,P10,1239111,83379.31034,464,,,
2024,P10,1239114,0,147,,,
2024,P10,1239117,0,219,,,
2024,P10,1243855,27517.24138,263,,,
2024,P11,1172086,0,15,,,
2024,P11,1171142,0,104,,,
2024,P11,1171437,0,17,,,
2024,P11,1171174,0,34,,,
2024,P11,1171775,0,6,,,
2024,P11,768866,103.4482759,0,,,
2024,P11,1155167,752100,15093,,,
2024,P11,1167963,526642.2414,705,,,
2024,P11,1170850,245464.6552,202,,,
2024,P11,1170865,623115.5172,511,,,
2024,P11,1170873,730598.2759,478,,,
2024,P11,1170903,1019254.31,551,,,
2024,P11,1171142,218425.8621,0,,,
2024,P11,1171174,119587.931,0,,,
2024,P11,1171278,97909.48276,53,,,
2024,P11,1171598,22611.2069,6,,,
2024,P11,1171895,62043.10345,10,,,
2024,P11,1171361,278394.8276,76,,,
2024,P11,1171737,47680.17241,6,,,
2024,P11,1172000,87380.17241,14,,,
2024,P11,1171437,99975,0,,,
2024,P11,1171775,20505.17241,0,,,
2024,P11,1172086,124096.5517,0,,,
2024,P11,1233955,47284.48276,0,,,
2024,P11,1233976,22448.27586,0,,,
2024,P11,1233994,203974.1379,2677,,,
2024,P11,1234038,143275.8621,576,,,
2024,P11,1239102,26262.06897,91,,,
2024,P11,1239111,124862.069,460,,,
2024,P11,1239114,69655.17241,158,,,
2024,P11,1239117,94775.86207,210,,,
2024,P11,1243855,52982.75862,280,,,
2024,P12,768894,689.6551724,0,,,
2024,P12,756212,1723.275862,0,,,
2024,P12,756159,1326.724138,0,,,
2024,P12,1172086,173218.1034,19,,,
2024,P12,773381,258.6206897,0,,,
2024,P12,773462,862.0689655,0,,,
2024,P12,773395,258.6206897,0,,,
2024,P12,1171142,240087.931,94,,,
2024,P12,1171437,112375,13,,,
2024,P12,1171174,141526.7241,31,,,
2024,P12,768872,11465.51724,0,,,
2024,P12,755977,921.5517241,0,,,
2024,P12,755958,723.2758621,0,,,
2024,P12,1171775,41010.34483,2,,,
2024,P12,1155167,1259547.414,9867,,,
2024,P12,1167963,611000.8621,505,,,
2024,P12,1170850,276549.1379,157,,,
2024,P12,1170865,700011.2069,368,,,
2024,P12,1170873,864932.7586,425,,,
2024,P12,1170903,1192293.103,455,,,
2024,P12,1171142,0,0,,,
2024,P12,1171174,0,0,,,
2024,P12,1171278,142108.6207,31,,,
2024,P12,1171598,49529.31034,6,,,
2024,P12,1171895,196469.8276,31,,,
2024,P12,1171361,297075,48,,,
2024,P12,1171737,73264.65517,4,,,
2024,P12,1172000,145633.6207,6,,,
2024,P12,1171437,0,0,,,
2024,P12,1171775,0,0,,,
2024,P12,1172086,0,0,,,
2024,P12,1233955,56724.13793,0,,,
2024,P12,1233976,23275.86207,0,,,
2024,P12,1233994,285307.7586,2470,,,
2024,P12,1234038,166465.5172,509,,,
2024,P12,1239102,31493.96552,90,,,
2024,P12,1239111,154344.8276,428,,,
2024,P12,1239114,91034.48276,157,,,
2024,P12,1239117,122534.4828,200,,,
2024,P12,1243855,73258.62069,266,,,
2024,P12,1619350,0,0,,,
2024,P12,1619364,0,0,,,
2024,P12,1619373,0,0,,,
2024,P12,1619255,0,0,,,
2024,P12,1619279,0,0,,,
2024,P12,1619343,0,0,,,
