C601,C602,C003 No llenar,C006,C101,C102,C103,R001-0501
2024,P10,NA,33,P109,P02,P02,390
2024,P10,NA,55,P109,P02,P02,"7,574"
2024,P10,NA,81,P109,P02,P02,"4,298"
2024,P10,NA,222,P109,P02,P02,582
2024,P10,NA,227,P109,P02,P02,1
2024,P10,NA,228,P109,P02,P02,390
2024,P10,NA,229,P109,P02,P02,71
2024,P10,NA,237,P109,P02,P02,960
2024,P10,NA,247,P109,P02,P02,24
2024,P10,NA,271,P109,P02,P02,244
2024,P10,NA,272,P109,P02,P02,241
2024,P10,NA,311,P109,P02,P02,4
2024,P10,NA,312,P109,P02,P02,3
2024,P10,NA,314,P109,P02,P02,35
2024,P10,NA,351,P109,P02,P02,52
2024,P10,NA,441,P109,P02,P02,6
2024,P10,NA,442,P109,P02,P02,99
2024,P10,NA,443,P109,P02,P02,6
2024,P10,NA,444,P109,P02,P02,77
2024,P10,NA,449,P109,P02,P02,26
2024,P10,NA,452,P109,P02,P02,51
2024,P10,NA,461,P109,P02,P02,8
2024,P10,NA,462,P109,P02,P02,17
2024,P10,NA,464,P109,P02,P02,4
2024,P10,NA,472,P109,P02,P02,17
2024,P10,NA,473,P109,P02,P02,3
2024,P10,NA,477,P109,P02,P02,161
2024,P10,NA,612,P109,P02,P02,1
2024,P10,NA,614,P109,P02,P02,79
2024,P10,NA,631,P109,P02,P02,3
2024,P10,NA,644,P109,P02,P02,1
2024,P10,NA,646,P109,P02,P02,408
2024,P10,NA,653,P109,P02,P02,1
2024,P10,NA,656,P109,P02,P02,386
2024,P10,NA,662,P109,P02,P02,63
2024,P10,NA,664,P109,P02,P02,751
2024,P10,NA,667,P109,P02,P02,9
2024,P10,NA,668,P109,P02,P02,1
2024,P10,NA,669,P109,P02,P02,1
2024,P10,NA,673,P109,P02,P02,1
2024,P10,NA,686,P109,P02,P02,356
2024,P10,NA,687,P109,P02,P02,26
2024,P10,NA,722,P109,P02,P02,650
2024,P10,NA,729,P109,P02,P02,26
2024,P10,NA,735,P109,P02,P02,4
2024,P10,NA,744,P109,P02,P02,15
2024,P10,NA,771,P109,P02,P02,49
2024,P10,NA,777,P109,P02,P02,51
2024,P10,NA,782,P109,P02,P02,1
2024,P10,NA,833,P109,P02,P02,6
2024,P10,NA,834,P109,P02,P02,4
2024,P10,NA,844,P109,P02,P02,177
2024,P10,NA,866,P109,P02,P02,95
2024,P10,NA,867,P109,P02,P02,171
2024,P10,NA,868,P109,P02,P02,4
2024,P10,NA,871,P109,P02,P02,91
2024,P10,NA,899,P109,P02,P02,191
2024,P10,NA,938,P109,P02,P02,6
2024,P10,NA,951,P109,P02,P02,1
2024,P10,NA,981,P109,P02,P02,1
2024,P10,NA,991,P109,P02,P02,3
2024,P10,NA,993,P109,P02,P02,20
2024,P10,NA,998,P109,P02,P02,171
2024,P10,NA,999,P109,P02,P02,79
2024,P10,NA,55,P109,P02,P03,"18,463"
2024,P10,NA,228,P109,P02,P03,977
2024,P10,NA,656,P109,P02,P03,868
2024,P10,NA,744,P109,P02,P03,"1,411"
2024,P10,NA,33,P110,P02,P02,"1,760"
2024,P10,NA,55,P110,P02,P02,"584,135"
2024,P10,NA,81,P110,P02,P02,28
2024,P10,NA,899,P110,P02,P02,"3,145"
2024,P10,NA,33,P205,P01,P01,"819,952"
2024,P10,NA,55,P205,P01,P01,"6,517,996"
2024,P10,NA,81,P205,P01,P01,"624,182"
2024,P10,NA,222,P205,P01,P01,"455,786"
2024,P10,NA,223,P205,P01,P01,"8,580"
2024,P10,NA,224,P205,P01,P01,131
2024,P10,NA,225,P205,P01,P01,"12,491"
2024,P10,NA,226,P205,P01,P01,"7,800"
2024,P10,NA,227,P205,P01,P01,"14,119"
2024,P10,NA,228,P205,P01,P01,"126,525"
2024,P10,NA,229,P205,P01,P01,"173,918"
2024,P10,NA,231,P205,P01,P01,"44,220"
2024,P10,NA,232,P205,P01,P01,"76,651"
2024,P10,NA,233,P205,P01,P01,7
2024,P10,NA,235,P205,P01,P01,523
2024,P10,NA,236,P205,P01,P01,1
2024,P10,NA,237,P205,P01,P01,509
2024,P10,NA,238,P205,P01,P01,"60,753"
2024,P10,NA,241,P205,P01,P01,"76,730"
2024,P10,NA,243,P205,P01,P01,"9,933"
2024,P10,NA,244,P205,P01,P01,"31,636"
2024,P10,NA,245,P205,P01,P01,"5,844"
2024,P10,NA,246,P205,P01,P01,"65,032"
2024,P10,NA,247,P205,P01,P01,"15,853"
2024,P10,NA,248,P205,P01,P01,"36,171"
2024,P10,NA,249,P205,P01,P01,"21,367"
2024,P10,NA,271,P205,P01,P01,"112,601"
2024,P10,NA,272,P205,P01,P01,"72,078"
2024,P10,NA,273,P205,P01,P01,"6,597"
2024,P10,NA,274,P205,P01,P01,"22,821"
2024,P10,NA,275,P205,P01,P01,5
2024,P10,NA,276,P205,P01,P01,"2,189"
2024,P10,NA,278,P205,P01,P01,"3,789"
2024,P10,NA,279,P205,P01,P01,"1,646"
2024,P10,NA,281,P205,P01,P01,"7,102"
2024,P10,NA,282,P205,P01,P01,"41,516"
2024,P10,NA,283,P205,P01,P01,2
2024,P10,NA,284,P205,P01,P01,"2,712"
2024,P10,NA,285,P205,P01,P01,"8,286"
2024,P10,NA,287,P205,P01,P01,"19,412"
2024,P10,NA,288,P205,P01,P01,"21,240"
2024,P10,NA,294,P205,P01,P01,"63,162"
2024,P10,NA,296,P205,P01,P01,"11,522"
2024,P10,NA,297,P205,P01,P01,"2,304"
2024,P10,NA,311,P205,P01,P01,"62,146"
2024,P10,NA,312,P205,P01,P01,"43,386"
2024,P10,NA,313,P205,P01,P01,"12,671"
2024,P10,NA,314,P205,P01,P01,"23,437"
2024,P10,NA,315,P205,P01,P01,"10,638"
2024,P10,NA,317,P205,P01,P01,177
2024,P10,NA,319,P205,P01,P01,521
2024,P10,NA,322,P205,P01,P01,"77,647"
2024,P10,NA,323,P205,P01,P01,"6,442"
2024,P10,NA,324,P205,P01,P01,"3,779"
2024,P10,NA,325,P205,P01,P01,"1,769"
2024,P10,NA,327,P205,P01,P01,577
2024,P10,NA,341,P205,P01,P01,"22,338"
2024,P10,NA,342,P205,P01,P01,293
2024,P10,NA,343,P205,P01,P01,1
2024,P10,NA,344,P205,P01,P01,1
2024,P10,NA,347,P205,P01,P01,133
2024,P10,NA,348,P205,P01,P01,"14,546"
2024,P10,NA,351,P205,P01,P01,"26,392"
2024,P10,NA,352,P205,P01,P01,"25,814"
2024,P10,NA,353,P205,P01,P01,"9,662"
2024,P10,NA,354,P205,P01,P01,"8,458"
2024,P10,NA,358,P205,P01,P01,205
2024,P10,NA,373,P205,P01,P01,"1,878"
2024,P10,NA,374,P205,P01,P01,"7,815"
2024,P10,NA,375,P205,P01,P01,"2,783"
2024,P10,NA,376,P205,P01,P01,77
2024,P10,NA,378,P205,P01,P01,"7,443"
2024,P10,NA,384,P205,P01,P01,"4,293"
2024,P10,NA,386,P205,P01,P01,338
2024,P10,NA,389,P205,P01,P01,159
2024,P10,NA,391,P205,P01,P01,"1,257"
2024,P10,NA,392,P205,P01,P01,"14,848"
2024,P10,NA,393,P205,P01,P01,"10,840"
2024,P10,NA,395,P205,P01,P01,"2,607"
2024,P10,NA,411,P205,P01,P01,"40,225"
2024,P10,NA,412,P205,P01,P01,"24,994"
2024,P10,NA,413,P205,P01,P01,"13,625"
2024,P10,NA,414,P205,P01,P01,"14,329"
2024,P10,NA,415,P205,P01,P01,"27,009"
2024,P10,NA,417,P205,P01,P01,"13,166"
2024,P10,NA,418,P205,P01,P01,"42,487"
2024,P10,NA,419,P205,P01,P01,"14,999"
2024,P10,NA,421,P205,P01,P01,77
2024,P10,NA,425,P205,P01,P01,"5,892"
2024,P10,NA,427,P205,P01,P01,"52,655"
2024,P10,NA,428,P205,P01,P01,"10,157"
2024,P10,NA,429,P205,P01,P01,"25,226"
2024,P10,NA,431,P205,P01,P01,"1,310"
2024,P10,NA,432,P205,P01,P01,"5,875"
2024,P10,NA,433,P205,P01,P01,133
2024,P10,NA,434,P205,P01,P01,"28,737"
2024,P10,NA,436,P205,P01,P01,"4,308"
2024,P10,NA,438,P205,P01,P01,3
2024,P10,NA,441,P205,P01,P01,"11,574"
2024,P10,NA,442,P205,P01,P01,"182,914"
2024,P10,NA,443,P205,P01,P01,"132,719"
2024,P10,NA,444,P205,P01,P01,"239,482"
2024,P10,NA,445,P205,P01,P01,"15,217"
2024,P10,NA,447,P205,P01,P01,"12,632"
2024,P10,NA,448,P205,P01,P01,"9,256"
2024,P10,NA,449,P205,P01,P01,"150,536"
2024,P10,NA,451,P205,P01,P01,1
2024,P10,NA,452,P205,P01,P01,"40,287"
2024,P10,NA,453,P205,P01,P01,"9,959"
2024,P10,NA,454,P205,P01,P01,1
2024,P10,NA,456,P205,P01,P01,"13,938"
2024,P10,NA,458,P205,P01,P01,"8,852"
2024,P10,NA,461,P205,P01,P01,"100,571"
2024,P10,NA,462,P205,P01,P01,"126,367"
2024,P10,NA,464,P205,P01,P01,"55,901"
2024,P10,NA,465,P205,P01,P01,"7,817"
2024,P10,NA,466,P205,P01,P01,"11,128"
2024,P10,NA,468,P205,P01,P01,"25,810"
2024,P10,NA,469,P205,P01,P01,"14,461"
2024,P10,NA,472,P205,P01,P01,"48,619"
2024,P10,NA,473,P205,P01,P01,"40,737"
2024,P10,NA,474,P205,P01,P01,"24,822"
2024,P10,NA,475,P205,P01,P01,"6,700"
2024,P10,NA,476,P205,P01,P01,"45,306"
2024,P10,NA,477,P205,P01,P01,"413,946"
2024,P10,NA,478,P205,P01,P01,"3,732"
2024,P10,NA,481,P205,P01,P01,"3,274"
2024,P10,NA,483,P205,P01,P01,146
2024,P10,NA,485,P205,P01,P01,"4,992"
2024,P10,NA,487,P205,P01,P01,"4,531"
2024,P10,NA,488,P205,P01,P01,"17,850"
2024,P10,NA,489,P205,P01,P01,111
2024,P10,NA,492,P205,P01,P01,"56,724"
2024,P10,NA,493,P205,P01,P01,"27,182"
2024,P10,NA,494,P205,P01,P01,"6,533"
2024,P10,NA,495,P205,P01,P01,"11,800"
2024,P10,NA,496,P205,P01,P01,"6,601"
2024,P10,NA,498,P205,P01,P01,"10,593"
2024,P10,NA,591,P205,P01,P01,1
2024,P10,NA,595,P205,P01,P01,"2,029"
2024,P10,NA,612,P205,P01,P01,"10,939"
2024,P10,NA,613,P205,P01,P01,52
2024,P10,NA,614,P205,P01,P01,"47,758"
2024,P10,NA,616,P205,P01,P01,1
2024,P10,NA,618,P205,P01,P01,"47,447"
2024,P10,NA,622,P205,P01,P01,"16,267"
2024,P10,NA,624,P205,P01,P01,"18,960"
2024,P10,NA,625,P205,P01,P01,"4,719"
2024,P10,NA,627,P205,P01,P01,"3,482"
2024,P10,NA,629,P205,P01,P01,"1,258"
2024,P10,NA,631,P205,P01,P01,"10,108"
2024,P10,NA,632,P205,P01,P01,444
2024,P10,NA,636,P205,P01,P01,63
2024,P10,NA,638,P205,P01,P01,733
2024,P10,NA,639,P205,P01,P01,"6,203"
2024,P10,NA,641,P205,P01,P01,66
2024,P10,NA,642,P205,P01,P01,"9,160"
2024,P10,NA,644,P205,P01,P01,"27,345"
2024,P10,NA,646,P205,P01,P01,"33,841"
2024,P10,NA,647,P205,P01,P01,"2,343"
2024,P10,NA,648,P205,P01,P01,"3,942"
2024,P10,NA,653,P205,P01,P01,"11,989"
2024,P10,NA,656,P205,P01,P01,"110,102"
2024,P10,NA,659,P205,P01,P01,1
2024,P10,NA,661,P205,P01,P01,"8,019"
2024,P10,NA,662,P205,P01,P01,"43,160"
2024,P10,NA,664,P205,P01,P01,"247,217"
2024,P10,NA,665,P205,P01,P01,"8,373"
2024,P10,NA,667,P205,P01,P01,"57,437"
2024,P10,NA,668,P205,P01,P01,"21,054"
2024,P10,NA,669,P205,P01,P01,"55,696"
2024,P10,NA,671,P205,P01,P01,229
2024,P10,NA,672,P205,P01,P01,"2,742"
2024,P10,NA,673,P205,P01,P01,"3,483"
2024,P10,NA,674,P205,P01,P01,2
2024,P10,NA,675,P205,P01,P01,659
2024,P10,NA,676,P205,P01,P01,"2,325"
2024,P10,NA,686,P205,P01,P01,"71,950"
2024,P10,NA,687,P205,P01,P01,"7,459"
2024,P10,NA,694,P205,P01,P01,"1,951"
2024,P10,NA,695,P205,P01,P01,"1,181"
